"","Reactome Pathway","No. of Genes in Pathway","Adjusted P-Value","Leading Edge Genes"
"31","RHO GTPase cycle",443,"1.821e-04","CAVIN1, ITGB1, ACTN1, MCAM, ARHGEF28, UACA, CAV1, TIAM2, DLC1, SEMA4F, TRIP10, PLXNA1, ANLN, RHOJ, ARHGAP21, ARHGEF18, EPHA2, TRIO, RAC2, SHKBP1, GOPC, ARAP3, ARHGAP31, ABL2, CDC42EP3, ARHGAP42, RASAL2, PEAK1, CIT, ALS2, AKAP12, FMNL2, SPTAN1, IL32, DEPDC1B, CCDC88A, VIM, PKN2, IQGAP1, KIF14, GARRE1, CPNE8, ARHGAP45, SPTBN1, ROCK2, DST, MYO9A, ARHGEF1, STK10, RRAS2, NCF2, CDC42EP2, ARHGAP22, VANGL2, FAM135A, SYDE1, NCF1, PICALM, PLEKHG2, EFHD2, SH3PXD2A, ACTG1, RALBP1, GFOD1, ARHGAP18, ABI2, DNMBP, RHOQ, NSFL1C, SRC, DOCK5, LBR, CKB, DIAPH3, JAG1, CPD, STARD13, CHN1, DIAPH2, DSG2, CKAP4, RND3, GJA1, STAM, LCK, SWAP70, HSP90AB1, ARHGAP29, NCK1, PIK3CA, DSG1, CYBB, NOX3, ARHGEF25, WASF1, RHOF, CPSF7, PLEKHG4, PLD1, RHOG, VAMP3, DOCK1, TOR1AIP1, ANKFY1, KIDINS220, WIPF1, FMNL3, ACTC1, OSBPL11, TMOD3, RASGRF2, DIAPH1, ARFGAP3, RACGAP1, ARHGEF40, PKN1, STK38, FRS3, PLEKHG5, SLC4A7, ARHGEF4"
"32","Signaling by Interleukins",456,"1.960e-04","ITGB1, CTF1, FYN, IL6, HSP90B1, SOCS5, TGFB1, MSN, PIM1, S1PR1, IL1RL2, IL1RAP, FN1, CSF2, PTPN14, COL1A2, IL7R, FPR1, IL12B, IL22RA1, FGF2, BIRC5, FSCN1, LYN, OSMR, EBI3, CSF1, ICAM1, SMAD3, CBL, CNN2, PIK3CD, CLCF1, ANXA2, IL32, ANXA1, VIM, PTGS2, MMP2, PPP2R5D, LIF, IL31RA, IL12RB2, APP, PTPN2, IL21R, PSMD11, TIMP1, MEF2A, IL1RAPL1, PSMB2, IL20RB, ZEB1, IKBIP, IRAK2, IL1A, SHC1, IRAK3, PSMD2, IL18R1, RAG1, STAT1, NLRC5, SERPINB2, MEF2C, DUSP7, CSF2RA, PSMB9, PSME4, MMP9, GSTO1, CD4, MYC, IL18RAP, IL10RB, LCK, PSMB8, LCP1, BCL2L1, IL1B, CXCL2, MAPK7, PSMD1, ITGB2, ITGAX, HIF1A, MAPK8, IL11, OPRM1, PIK3CA, CRLF2, SAA1, PSMF1, SOCS3, IL34, TSLP, IL6ST, CXCL10, PELI1, CXCL8, IL26, IL13RA2, CXCL1, IL15RA, RAG2, CSF1R, IL31, USP14, HCK, PPP2R1B, IL27RA, YES1, IFNLR1, CCL20, PSMD13, MMP3, LAMA5, PTPN20, STAT5B, VAV1, PTPN9, MAP2K7, TXLNA, IL17F, DUSP3, MAP2K3, NOS2, HNRNPDL, IL16, PSME3, OPRD1, NFKBIB, LCN2, IL15, JAK1, TNF, CANX, IL18BP, PPP2CB, PPP2R1A, IL23A, IL36B, IL1R2, PTK2B, IL9, PSMA1, IL5, AGER, IL2RG, STAT4, PSMB6, MAP3K7, PITPNA, STAT5A, LIFR, JAK3, PTPN11, PTPN7, STAT3, IL10, IFNL2, FOXO3, IFNL3, VCAM1, JUN, NFKB1, PTPRZ1, IL22"
"33","Dissolution of Fibrin Clot",13,"2.352e-04","PLAU, PLAUR, PLAT, SERPINE1, ANXA2, SERPINF2, SERPINE2, SERPINB2, SERPINB8, HRG"
"34","Interleukin-4 and Interleukin-13 signaling",108,"5.745e-04","ITGB1, IL6, HSP90B1, SOCS5, TGFB1, PIM1, S1PR1, FN1, COL1A2, IL12B, FGF2, BIRC5, FSCN1, ICAM1, ANXA1, VIM, PTGS2, MMP2, LIF, TIMP1, ZEB1, IL1A, STAT1, MMP9, MYC, BCL2L1, IL1B, ITGB2, ITGAX, HIF1A, OPRM1, SAA1, SOCS3"
"35","Metabolism of cofactors",20,"6.766e-04","GCHFR, COQ9, AKT1, COQ6, GCH1, COQ5, CALM1, COQ7, SPR, DHFR, IDH1, PDSS1"
"36","Scavenging by Class A Receptors",19,"9.552e-04","HSP90B1, COL4A1, COL1A2, CALR, APOE, COL4A2, SCGB3A2, FTL, COL3A1, MSR1, MASP1, APOA1, COL1A1, MARCO"
"37","Diseases of glycosylation",142,"9.827e-04","HSPG2, ADAMTS6, CHST3, EXT2, SLC26A2, ADAMTS16, CSPG4, GPC1, B3GLCT, EXT1, MOGS, ADAMTS12, PGM1, ADAMTSL4, RFT1, ADAMTS14, AGRN, ADAMTSL1, NUS1, ALG9, DCN, THBS2, CHST14, ADAMTS10, KERA, ADAMTS7, THBS1, THSD1, SDC4, MGAT2, ADAMTSL2, VCAN, NCAN, C1GALT1C1, DAG1, ST3GAL3, C1GALT1, ADAMTS9, CHSY1, ADAMTS5, MUC4, ADAMTS3, ADAMTSL5, ADAMTS2, PRELP, LUM, ACAN"
"38","O-glycosylation of TSR domain-containing proteins",37,"9.827e-04","ADAMTS6, ADAMTS16, B3GLCT, ADAMTS12, ADAMTSL4, ADAMTS14, POFUT2, ADAMTSL1, THBS2, ADAMTS10, ADAMTS7, THBS1, THSD1, ADAMTSL2, ADAMTS9, ADAMTS5, ADAMTS3, ADAMTSL5, ADAMTS2, ADAMTS20"
"39","Interleukin-10 signaling",41,"1.085e-03","IL6, CSF2, FPR1, IL12B, CSF1, ICAM1, PTGS2, LIF, TIMP1, IL1A, IL10RB, IL1B, CXCL2, CXCL10, CXCL8, CXCL1, CCL20, JAK1, TNF, IL1R2, STAT3, IL10"
"40","Mitotic G2-G2/M phases",194,"1.135e-03","TPX2, NME7, MAPRE1, CEP164, AJUBA, CDC25C, GTSE1, TUBB3, E2F3, CCNB1, XPO1, PHLDA1, TUBB6, PSMD11, CKAP5, CEP192, TUBB, BORA, CCNB2, TUBB2B, OPTN, PSMB2, NEDD1, CNTRL, DCTN1, PPP2R2A, YWHAE, PSMD2, ALMS1, TUBA1C, CCNA2, NINL, PSMB9, PSME4, CEP152, PSMB8, PLK1, PSMD1, HMMR, CEP70, HSP90AB1, PSMF1, PLK4, PAFAH1B1, DYNC1H1, CDK2, HAUS6, CEP57, CEP63, PPME1, CENPJ, TUBB4A, TUBA1A, CEP250, PPP2R1B, TUBB2A, PSMD13, CEP76, NEK2, CDK1, HAUS5, CCNA1, PSME3, CSNK1E, PPP2CB, PPP2R1A, FOXM1, PSMA1, CENPF, HAUS1, CDC25B, PSMB6, E2F1"
"41","G alpha (q) signalling events",214,"1.150e-03","HBEGF, UTS2B, RGS4, GNA15, PTGFR, TRIO, GNG10, RGSL1, EDNRB, GNB5, ANXA1, GNRH1, GNG2, GPR17, TBXA2R, OXTR, DGKB, EGFR, APP, TRPC3, GRK5, DGKG, QRFPR, NPFFR1, GNG12, LPAR1, PRKCA, LPAR5, AVPR1A, GCG, NMBR, HRH1, ADRA1B, GAST, RGS5, XCL1, RASGRP1, DGKA, RGS2, DGKE, MAPK7, GNB3, KISS1, PIK3CA, TRHR, SAA1, FFAR1, OPN4, NRAS, ARHGEF25, GNGT2, PRKCQ, NMB, PROKR2, PTGER1, BRS3, GNG11, DGKI, FPR2, RGS18, AGTR1, MMP3, HCRTR2, NTS, HCRTR1, HTR2A, RGS21, NMU, DAGLA, GPR132, GRPR, EDN1, PMCH, UTS2, GNG4, AVPR1B, QRFP, PLCB2, RASGRP2, HTR2C, TRPC7"
"42","Diseases associated with glycosaminoglycan metabolism",41,"1.234e-03","HSPG2, CHST3, EXT2, SLC26A2, CSPG4, GPC1, EXT1, AGRN, DCN, CHST14, KERA, SDC4, VCAN, NCAN, ST3GAL3, CHSY1, PRELP, LUM, ACAN"
"43","Cell-extracellular matrix interactions",18,"1.471e-03","ITGB1, ACTN1, LIMS2, FLNC, PARVA, FLNA, FBLIM1, ACTG1, RSU1, PARVB, VASP, PXN"
"44","Estrogen-dependent gene expression",118,"1.490e-03","FOXA1, MYB, TFF3, TFF1, FKBP4, TNRC6C, CITED1, H2AC20, JUND, H3-3A, USF1, SP1, H3C15, H2AJ, TLE3, H2BC21, GREB1, PGR, H4C8, CXXC5, POLR2J, ESR1, GATA3, POLR2K, H4C16, H4C11, KCTD6, NCOA2, ZNF217, EBAG9, BCL2, NRIP1, KDM4B, NCOA3, GTF2A2, POLR2H, DDX5, H3C13, H2BC26"
"45","Cyclin A/B1/B2 associated events during G2/M transition",25,"1.493e-03","CDC25C, CCNB1, XPO1, CCNB2, PPP2R2A, CCNA2, PLK1, CDK2, PPME1, PPP2R1B, CDK1, CCNA1, PPP2CB, PPP2R1A, FOXM1, CDC25B"
"46","Cilium Assembly",198,"1.914e-03","IFT80, MAPRE1, ASAP1, KIF17, CEP164, CYS1, PKD2, BBS12, KIF3C, SCLT1, TUBB3, IFT57, CC2D2A, TUBB6, IFT52, CKAP5, TNPO1, RPGRIP1L, CEP192, TUBB, BBS7, TUBB2B, NEDD1, B9D1, CNTRL, CCT4, DCTN1, CEP162, DYNC2H1, NPHP1, BBS9, YWHAE, ALMS1, TUBA1C, TTC26, NINL, CEP152, TCTN2, PLK1, C2CD3, CEP70, SMO, PLK4, PAFAH1B1, CEP89, DYNC1H1, IQCB1, HAUS6, CEP57, CEP63, CENPJ, TUBB4A, IFT81, TUBA1A, CEP250, TUBB2A, TTBK2, WDR35, CEP76, NEK2, CDK1, HAUS5, TMEM67, CSNK1E, B9D2, ARF4, PPP2R1A, IFT172"
"47","Endosomal/Vacuolar pathway",11,"2.156e-03","HLA-A, HLA-B, HLA-G, HLA-F, CTSV, HLA-E, B2M"
"48","Chromatin modifying enzymes",234,"2.216e-03","KMT2C, SMARCD2, SETD1B, SETD7, KDM7A, PHF8, TADA1, BRWD1, TADA2B, SETD6, SETDB1, KDM6B, KDM5C, H2AC20, EHMT1, VPS72, H3C15, ARID2, KMT5C, NSD1, PRMT6, H2AJ, ACTL6B, ARID4B, PRMT7, H2BC21, MTA1, SETD3, RCOR1, GATAD2B, TBL1X, H4C8, KMT5A, KMT2D, SUDS3, H2AC21, HMG20B, SMARCC2, ASH1L, BRPF3, SAP18, MTA3, KAT7, H4C16, SMARCA2, H4C11, SETDB2, NCOA2, PHF21A, MSL1, RBBP5, KANSL2, BRD1, H2BC18, KDM4B, MEAF6, KAT6B, KDM5B, PADI2, H2AC25, H3C13, KMT2E, PHF2, H2BC26, EZH2"
"49","HDACs deacetylate histones",59,"2.492e-03","H2AC20, H3C15, ARID4B, H2BC21, MTA1, RCOR1, GATAD2B, TBL1X, H4C8, SUDS3, H2AC21, HMG20B, SAP18, MTA3, H4C16, H4C11, PHF21A, H2BC18, H2AC25, H3C13, H2BC26, H2AC6, SAP30L, H3C14, H2BC12, H3C12, H2BC5, REST, MTA2, ARID4A, H2BC4, CHD3"
"50","RHOC GTPase cycle",73,"3.270e-03","CAVIN1, MCAM, ARHGEF28, CAV1, DLC1, ANLN, ARHGAP21, CIT, FMNL2, DEPDC1B, PKN2, IQGAP1, ROCK2, ARHGEF1, STK10, ARHGAP18, LBR, DIAPH3, STARD13, ARHGEF25, VAMP3, FMNL3, DIAPH1, RACGAP1, ARHGEF40, PKN1, RTKN, LMAN1"
"51","RNA Polymerase I Promoter Opening",31,"3.654e-03","H2AC20, H3-3A, H3C15, H2AJ, H2BC21, H4C8, MAPK3, H4C16, H4C11, H3C13, H2BC26, H2AC6, H3C14, H2BC12, H3C12, H2BC5, H2AZ2, H2BC4, MBD2, H3-3B, H2AZ1"
"52","Gap junction trafficking and regulation",47,"4.135e-03","DNM1, TUBB3, GJC2, GJB3, TUBB6, TUBB2B, GJA3, ACTG1, GJC1, TUBA1C, SRC, GJA1, DAB2, TJP1, GJB2, GJA4, TUBB4A, TUBA1A, TUBB2A, GJB4, GJD4, GJA10, GJB6, AP2M1"
"53","Interleukin-6 family signaling",24,"4.135e-03","CTF1, IL6, OSMR, CBL, CLCF1, LIF, IL31RA, STAT1, IL11, SOCS3, IL6ST, IL31, JAK1, LIFR, PTPN11, STAT3"
"54","Biological oxidations",216,"4.964e-03","GGCT, BPNT1, ACSM1, GGT1, UGT2B17, CYP4F8, AKR7A3, SULT1A1, UGT2B15, COMT, AKR1A1, CYP4B1, RXRA, NAT1, CYP2A7, GSTA3, SULT1A4, N6AMT1, CYP51A1, GGT6, AKR7A2, AKR7L, NAT2, MTR, CYP11B1, SLC26A1, CYP2B6, EPHX1, CYP2A6, GSTM3, UGT2B10, UGT2A1, CYP46A1, ARNT, CYP4F22, MTARC1, SULT2B1, CYP1A2, GSTM4, ADH1C, CYP2C19, UGDH, NCOA2, ACY1, SULT1A2, GCLC, CYP4A11, CYP2E1, UGT1A1, CYP11B2, CES2, ADH7, MGST2, CNDP2, POR, TPMT, FDXR, GSTK1, ACSS1, MAT2A, UGT2B28, CHAC1, CYP2R1, ALDH2, GSTA2, CMBL, CYP4F2, SULT1E1, SULT1A3, AOC1, CES3, ADH4, SULT1C2, GSTA4, UGT1A7, CYP4A22, MGST3, DPEP2, BPHL, UGT3A1, CYP2A13, CYP1B1, CBR3, ACSM5, SLC35D1, CYP2J2, PODXL2, AADAC, GSTZ1, ADH1B, TRMT112, MTARC2, CYP2C18, CYP21A2, NQO2, PAOX, CYP3A5"
"55","Defective SRD5A3 causes SRD5A3-CDG, KHRZ",1,"4.964e-03","SRD5A3"
"56","Neutrophil degranulation",475,"5.160e-03","TIMP2, SLC2A3, GLIPR1, ERP44, GSTP1, PLAU, COTL1, CDA, ATP11B, PLAUR, CPNE1, HPSE, CD44, FPR1, HLA-A, TMEM30A, GRN, PRCP, DDOST, CNN2, ALDH3B1, GALNS, TXNDC5, C3, ANXA2, SPTAN1, CYB5R3, IQGAP1, PTX3, HLA-B, PGM1, ARHGAP45, RAP2B, OLR1, OSCAR, QPCT, SIRPB1, KPNB1, SERPINB3, PSMD11, STK10, SERPINB10, PLEKHO2, XRCC6, ADGRE5, TUBB, PLAC8, KCMF1, LAMP2, CD177, CD59, CTSB, HGSNAT, PAFAH1B2, FUCA2, QSOX1, PSMD2, PYGL, FTL, FLG2, CD58, ADAM10, TLR2, ARSB, B2M, CTSC, UBR4, ACTR2, CKAP4, MMP9, SIRPA, ITGAV, CMTM6, PSMD1, ITGB2, HSP90AB1, ITGAX, PTPRB, FABP5, IGF2R, MAGT1, PKM, PRSS3, RNASE2, DYNC1H1, DERA, DSG1, CYBB, NRAS, PRG2, RHOF, MME, PLD1, RHOG, DSN1, HVCN1, PGAM1, ANPEP, NCSTN, TMBIM1, VCL, ATG7, PGLYRP1, CXCL1, FOLR3, DIAPH1, HRNR, SERPINB12, TNFAIP6, STING1, VAT1, FPR2, TRAPPC1, UNC13D, CD68, PSMD13, AMPD3, MMP8, CPPED1, CTSA, ABCA13, CAB39, NPC2, B4GALT1, VNN1, PSAP, SLC2A5, RAB9B, CD55, ALDOC, MAN2B1, GNS, CAP1, LTA4H, CD33, CAPN1, EEF1A1, PYGB, FAF2, LCN2"
"57","RND3 GTPase cycle",42,"5.160e-03","CAV1, SEMA4F, ARHGAP21, EPHA2, RASAL2, DEPDC1B, CCDC88A, DST, VANGL2, PICALM, CKB, CPD, CKAP4, RND3, DSG1, TMOD3, PLEKHG5, ANKRD26, TNFAIP1, VANGL1, WDR6, NISCH, KTN1"
"58","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",29,"5.651e-03","TAP2, HSPA5, HLA-A, CALR, HLA-B, HLA-G, PIK3R4, HLA-F, HLA-E, ERAP2, ERAP1, B2M, PDIA3, TAPBP, SEC23A, PIK3C3, TAP1, CANX, HLA-C"
"59","RAB geranylgeranylation",64,"5.757e-03","RAB3A, RAB27B, RAB24, RAB15, RAB33B, RAB40C, RAB26, RAB19, RAB13, RAB29, RAB11A, RABGGTA, RAB3D, RAB4A, RAB5C, RAB5B, RAB37, RAB9A, RAB22A, RAB25, RAB1B, RAB21, RAB18, RAB17, RAB35, RAB2B, RAB30, RAB14, RAB36, RAB2A, PTP4A2, RAB4B, RAB8A"
"60","SARS-CoV-2 Infection",293,"8.076e-03","HSPG2, ZDHHC2, AKT3, CAV1, ST6GALNAC3, GANAB, HLA-A, GPC1, EDEM2, IFNA1, DDOST, MOGS, PRKCSH, G3BP1, ST3GAL2, STT3A, HLA-B, GEMIN4, HLA-G, PIK3R4, HLA-F, SEH1L, RPN1, AGRN, HLA-E, ZDHHC8, PARP4, MGAT5, TLR1, IRAK2, RPN2, YWHAE, IFNB1, NUP93, FURIN, STAT1, IFNA10, TLR2, ST6GALNAC4, PRMT1, NUP153, B2M, SDC4, GJA1, MGAT2, NUP62, NUP98, NUP58, PARP14, SRPK1, HSP90AB1, NDC1, ST3GAL3, TJP1, MAGT1, NUP214, YWHAB, NUP88, NUP37, MASP1, YWHAQ, ISG15, YWHAH, CHMP3, GEMIN5, MAN2A1, TLR7, TRAF3, IFNA6, STING1, SEC23A, PIK3C3, NLRP3, MAP1LC3B, NUP50, MGAT1, NRP1, IL17F, TLR8"
"61","PKMTs methylate histone lysines",52,"8.389e-03","KMT2C, SETD1B, SETD7, SETD6, SETDB1, EHMT1, H3C15, KMT5C, NSD1, SETD3, H4C8, KMT5A, KMT2D, ASH1L, H4C16, H4C11, SETDB2, RBBP5, H3C13, KMT2E, EZH2"
"62","Myogenesis",30,"1.128e-02","MAPK12, MEF2A, CDH2, CTNNB1, TCF4, MEF2C, BNIP2, CDON, MYOD1, SPAG9, MEF2B, BORCS8-MEF2B"
"63","EGR2 and SOX10-mediated initiation of Schwann cell myelination",28,"1.161e-02","LAMC1, LAMA2, TEAD1, LAMB1, SCD5, UTRN, WWTR1, SOX10, YAP1, DAG1, MBP, NAB1"
"64","YAP1- and WWTR1 (TAZ)-stimulated gene expression",15,"1.189e-02","CCN2, TEAD1, RUNX2, NKX2-5, WWTR1, YAP1"
"65","Maturation of spike protein",37,"1.211e-02","ZDHHC2, ST6GALNAC3, GANAB, EDEM2, DDOST, MOGS, PRKCSH, ST3GAL2, STT3A, RPN1, ZDHHC8, MGAT5, RPN2, ST6GALNAC4, MGAT2, ST3GAL3, MAGT1"
"66","GPCR ligand binding",450,"1.244e-02","FZD7, UTS2B, FZD2, S1PR1, WNT10A, PTGFR, FPR1, ADRB2, WNT7A, ADM, GNG10, FZD6, EDNRB, C3, GNB5, ANXA1, NPY4R, GNRH1, GNG2, GPR17, TBXA2R, OXTR, ECE1, CHRM4, APP, NPW, OPN1SW, CXCL11, TAS2R46, MC4R, ADGRE5, QRFPR, CXCL5, NPFFR1, ADORA2B, CCR10, MTNR1A, NLN, GNG12, LPAR1, GLP2R, LPAR5, AVPR1A, GIP, GCG, NMBR, HRH1, ADGRE1, PTH1R, ADRA1B, LHB, UCN2, RAMP2, S1PR2, WNT3, TAS2R9, GPR55, XCL1, DRD2, CXCL2, S1PR4, HTR7, GNB3, WNT16, SMO, TAS2R41, KISS1, OPRM1, TRHR, SAA1, FFAR1, ADCYAP1, RAMP1, PPY, OPN4, RGR, CALCRL, GNGT2, CXCL10, PLPPR3, PTCH1, TAS1R1, CXCL8, WNT11, NMB, CXCL1, PROKR2, PTGER1, BRS3, INSL5, GNG11, FPR2, GABBR1, PYY, TAAR9, OPRL1, CCL20, CXCL3, AGTR1, XK, HCRTR2, NTS, HCRTR1, HTR2A, NMU, PSAP, TAS2R50, FSHR, CD55, WNT2B, PTHLH, CHRM2, GPR132, GRPR, HTR1D, EDN1, OPRD1, MC3R, CXCL9, WNT9B, SUCNR1, IAPP, CRHBP, PMCH, AVPR2, UTS2, S1PR5, GNG4, GALR1, OPN5, AVPR1B, PLPPR4, QRFP, ADCYAP1R1, HTR2C, PTGER4, C3AR1, LPAR3, AGTR2, OPN3, WNT6, DRD4, TAAR5, GAL, CMKLR1, HTR1F, CCKAR, TAS2R43, P2RY1"
"67","Activation of gene expression by SREBF (SREBP)",41,"1.321e-02","FASN, GGPS1, RXRA, SREBF1, PMVK, SP1, CYP51A1, TM7SF2, TBL1X, NFYB, MVK, NCOA2, SCD, ACACB, IDI1, FDPS"
"68","Signaling by activated point mutants of FGFR1",11,"1.534e-02","FGF5, FGF2, FGF20, FGF1"
"69","trans-Golgi Network Vesicle Budding",72,"1.780e-02","SNAPIN, BLOC1S4, ARRB1, HIP1R, AP4M1, NECAP1, SNAP23, ACBD3, ARF1, GAK, AP1S1, RAB5C, BLOC1S1, AP1G2, VAMP8, AP1B1, TPD52L1, YIPF6, CLINT1, AP1G1, GOLGB1, TPD52, AP1M2"
"70","Semaphorin interactions",65,"1.909e-02","ITGB1, SEMA7A, FYN, MYL9, PLXNA1, TLN1, MYH9, SEMA3A, RRAS, ROCK2, CDK5R1, DPYSL2, MET, ITGA1, CD72, DPYSL3"
"71","Defective ABCC8 can cause hypo- and hyper-glycemias",2,"2.210e-02","KCNJ11, ABCC8"
"72","Carnitine metabolism",13,"2.225e-02","CPT2, RXRA, THRSP, SLC22A5, CPT1A, CPT1B, ACACB, MID1IP1"
"73","Amino acids regulate mTORC1",54,"2.292e-02","ATP6V1G1, ATP6V1F, LAMTOR2, ATP6V0B, CASTOR1, KICS2, LAMTOR3, ATP6V0D1, ATP6V0E2, SESN1, WDR24, LAMTOR4, LAMTOR5, MLST8, ATP6V0C, ATP6V1D, ATP6V1H, ITFG2, LAMTOR1, ATP6V1A, WDR59, MIOS"
"74","Signaling by Retinoic Acid",43,"2.511e-02","RXRA, RARA, RDH13, SDR16C5, RDH16, DLD, RXRG, CPT1A, DHRS4, CPT1B, ADH1C, ALDH1A2, PDHX, PDK3, CRABP1, CRABP2, ADH4, PDK4, PDHA1"
"75","Signaling by Hippo",20,"2.946e-02","STK4, AMOTL2, LATS2, YWHAE, WWTR1, YAP1, TJP1, MOB1A, YWHAB, DVL2, STK3, AMOTL1, MOB1B, SAV1"
"76","Cellular response to starvation",154,"3.130e-02","ATP6V1G1, ATP6V1F, LAMTOR2, ATP6V0B, CASTOR1, KICS2, LAMTOR3, ATP6V0D1, ATP6V0E2, SESN1, RPL41, RPS26, RPS27L, WDR24, LAMTOR4, RPS27, LAMTOR5, MLST8, TRIB3, EIF2S3, ATP6V0C, RPL37A, RPL8, RPL36AL, ATP6V1D, ATP6V1H, RPL9, ITFG2, LAMTOR1, RPL38, RPS14, RPL30, ATP6V1A, WDR59, MIOS, RPS29, RPS3A, RPL35, GCN1, RPS4X, RPS15A, RPS15, RPL34, DEPDC5, RPL7, FNIP2, RPL18A, SESN2, RPL3, ATF4, RPL31, RPL23A, RPLP0, ATP6V0E1, RPL39L, RPL39, RPL29, RRAGD, RPL22, CEBPB, RPS23"
"77","Degradation of cysteine and homocysteine",14,"3.344e-02","SUOX, CSAD, SQOR, SLC25A10, TXN2, TST, TSTD1, GADL1, MPST, ETHE1, ADO, GOT2"
"78","Beta-catenin independent WNT signaling",145,"3.369e-02","FZD7, RYK, FZD2, AP2B1, RAC2, SMURF2, ROR1, GNG10, FZD6, GNB5, GNG2, WNT5B, TCF7, PSMD11, CAMK2A, AGO3, PSMB2, VANGL2, CTNNB1, GNG12, PSMD2, PRKCA, AGO4, PSMB9, PSME4, PSMB8, PSMD1, PDE6B, GNB3, PSMF1, PRICKLE1, DVL2, GNGT2, WNT11, ROR2, PFN1, AP2A1"
"79","Regulation of Complement cascade",46,"3.751e-02","SERPING1, C3, PROS1, CD59, C1R, C4BPB, CFH, C1S, CR2, C9, CPB2, CPN2, CFHR3, CFB, CFHR1, CD81, C6, CFHR4, CPN1, CFI, CD55, C1QC, C4A, C3AR1, CR1, C7"
"80","Dermatan sulfate biosynthesis",11,"3.857e-02","DSE, CSPG4, DCN, CHST14, VCAN, NCAN"
"81","Trafficking and processing of endosomal TLR",13,"3.933e-02","HSP90B1, CNPY3, CTSV, CTSB, LGMN, TLR3, TLR7, TLR8, TLR9"
"82","Autointegration results in viral DNA circles",3,"4.099e-02","HMGA1, PSIP1"
"83","MHC class II antigen presentation",120,"4.099e-02","KIF23, AP2B1, KIF2C, HLA-DOB, DNM1, KIF3C, TUBB3, KIF20A, TUBB6, CTSV, KIF18A, TUBB2B, DCTN1, CTSB, CENPE, TUBA1C, LGMN, CTSC, KIF4A, CD74, OSBPL1A, DYNC1I1, DYNC1H1, AP2A1, CAPZA3, KLC4, CTSE, KIF11, TUBB4A, KIF5A, RACGAP1, TUBA1A, SEC23A, KLC3, TUBB2A, CTSA, KIF15, HLA-DMB, CANX, LAG3, AP2M1, CTSH"
"84","Insulin receptor recycling",27,"4.473e-02","ATP6V1G1, ATP6V1F, ATP6V0B, ATP6V0D1, ATP6V0E2, IDE, INSR, ATP6V0C, ATP6V1D, ATP6V1H, ATP6AP1, ATP6V1A, INS"
"85","MAPK family signaling cascades",323,"4.485e-02","HBEGF, FYN, IL6, FGF5, NRG1, TLN1, FN1, CSF2, RASGRP3, CDC42EP3, FGF2, RASAL2, MAPK12, SPTAN1, IQGAP1, CNKSR2, TEK, SPTBN1, XPO1, PPP2R5D, EGFR, APBB1IP, PSMD11, FGF20, CAMK2A, CDC42EP2, AGO3, PSMB2, MET, FGF1, ACTG1, SHC1, ITGB3, PSMD2, RAG1, FNTA, GDNF, AGO4, CDC14B, SRC, DUSP7, TGFA, FLT3LG, CSF2RA, MRAS, PSMB9, PSME4, RGL1, RASGRP1, PDGFRB, MYC, PSMB8, BCL2L1, PAQR3, PSMD1, RAPGEF2, PIK3CA, PDGFRA, ANGPT1, PSMF1, GRIN2D, YWHAB, NRAS, IL6ST, ARL2, VCL, PRKCQ, RASGRF2, RAG2, RASA2, RASA3, DLG1, FRS3, PEA15, PPP2R1B, CDC14A, PSMD13, KL, KSR1, NCAM1, ARTN, RASA1, FGFR2, CDK1, DLG4, PSME3, RASA4, SPRED1, JAK1, IL17RD, PPP2CB, PPP2R1A, CALM2, PRKACG, PSMA1, IL5, IL2RG, ACTB, DUSP9, ACTN2, PSMB6, SHC3, FGF18, PPP2R5E, RCE1, NF1, JAK3, PTPN11, EREG, PTPN7, SEPTIN7, FOXO3, JUN, MAP2K2"
"86","CD163 mediating an anti-inflammatory response",9,"4.603e-02","IL6, ADAM17, MYH9, FURIN"
