"","Reactome Pathway","No. of Genes in Pathway","Adjusted P-Value","Leading Edge Genes"
"11","RHO GTPases Activate Formins",136,"1.112e-08","ITGB1, NDC80, MAPRE1, CDC20, KIF2C, BIRC5, ZW10, SGO2, CENPI, FMNL2, AURKB, SPDL1, CDCA8, TUBB3, BUB1, MRTFA, XPO1, PPP2R5D, CENPK, TUBB6, SEH1L, NUF2, CKAP5, KIF18A, TUBB2B, ACTG1, CENPA, CENPE, TUBA1C, SRC, DIAPH3, DIAPH2, CENPO, NUP98, PLK1, SRF, PAFAH1B1, CENPH, DYNC1I1, DYNC1H1, DVL2, NUP37, SGO1, SKA1, DSN1, FMNL3, PFN1, ERCC6L, TUBB4A, BUB1B, DIAPH1, INCENP, TUBA1A, PPP2R1B, SPC25, TUBB2A, CENPN, ITGB3BP, B9D2, NUP160, NDEL1, PPP2CB, PPP2R1A, NUP107, SPC24, FMNL1, CENPF, CENPM, ZWILCH, ACTB"
"12","Mitochondrial protein import",61,"3.117e-08","LDHD, MTX1, GFER, ATP5F1B, TIMM17A, TIMM10B, TIMM13, CHCHD5, COA6, COX17, TOMM70, CYC1, CHCHD2, PAM16, CHCHD10, HSPA9, HSCB, ATP5MC1, DNAJC19, MTX2, ACO2, CHCHD4, GRPEL2, CHCHD3, TIMM17B, TOMM7, IDH3G, TIMM10, NDUFB8, COA4, PMPCB, SLC25A6, ATP5F1A, TIMM9, GRPEL1, BCS1L, CMC2, TIMM21, CS, TAFAZZIN"
"13","Mitochondrial translation",92,"4.286e-08","MRPL32, MRPS34, MRPL41, MRPL34, MRPL9, MRPS14, MRPL27, MRPS33, MRPL55, OXA1L, MRPS35, DAP3, MRPS11, MRPL24, MRPS7, MRPL54, MRPL58, MRPL44, MRPL46, MRPL53, MRPL20, MRPL13, MRPL12, MTIF3, MRPS28, MRPS25, MRPS16, MRPL38, AURKAIP1, MRPL49, MRPL57, MRPS26, MRPS36, MRPL17, CHCHD1, MRPL51, GFM2, MRRF, MRPL43, MRPL39, MRPS2, MRPS30, TSFM, MRPL15, MRPS23, MRPL3, MRPL36, MRPL19, TUFM, ERAL1, MRPL23, MRPL1"
"14","MET activates PTK2 signaling",30,"6.242e-08","ITGB1, LAMC1, LAMA2, COL11A1, LAMB1, FN1, LAMC2, COL1A2, LAMB3, LAMA3, ITGA3, LAMA1, LAMA4, COL5A2, MET, SRC, COL3A1, LAMC3, COL5A1, COL1A1, COL5A3, LAMA5"
"15","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",125,"6.904e-08","IGFBP6, MFGE8, LAMC1, CCN1, IGFBP7, IL6, GAS6, HSP90B1, CHRDL1, MSLN, PDIA6, MELTF, LAMB1, FN1, TGOLN2, RCN1, FSTL3, APOE, CSF1, FSTL1, C3, PRKCSH, EVA1A, FBN1, PAPPA, MMP2, AMBN, APP, TIMP1, CDH2, NUCB1, CALU, FUCA2, QSOX1, LGALS1, APLP2, ADAM10, PRSS23, CKAP4, VCAN, ENAM, SPARCL1, SCG2, PCSK9, APOL1, TF, KLK13, NOTUM, APOA1"
"16","Elastic fibre formation",44,"8.791e-08","ITGB1, LOXL2, MFAP5, TGFB1, EFEMP2, FN1, LOX, ITGA5, LOXL1, FBN1, BMP2, TGFB2, FBN2, LTBP3, LTBP2, MFAP4, LTBP4, ITGB8, MFAP2, EMILIN2, ITGB3, LOXL3, FURIN, FBN3, LOXL4, ITGAV, GDF5, EFEMP1"
"17","RHO GTPase Effectors",290,"3.438e-07","ITGB1, MYL9, NDC80, MAPRE1, CDC20, PPP1R14A, MYLK, RAC2, GOPC, KIF2C, FLNA, BIRC5, MYH9, ZW10, CIT, SGO2, CENPI, FMNL2, AURKB, SPDL1, CDC25C, CDCA8, PKN2, TUBB3, IQGAP1, KIF14, BUB1, MRTFA, XPO1, PPP2R5D, KDM1A, CENPK, ROCK2, PIK3R4, TUBB6, SEH1L, NUF2, CKAP5, NCF2, KIF18A, TUBB2B, NCF1, CTNNB1, YWHAE, ACTG1, NF2, PRC1, CENPA, ABI2, CENPE, PRKCA, RHOQ, TUBA1C, SRC, DIAPH3, ACTR2, DIAPH2, CENPO, NUP98, TAX1BP3, PLK1, SRF, NCK1, PAFAH1B1, CENPH, DYNC1I1, DYNC1H1, YWHAB, CYBB, DVL2, NOX3, NUP37, WASF1, YWHAQ, SGO1, SKA1, RHOG, DSN1, YWHAH, WIPF1, FMNL3, ROPN1, PFN1, KLC4, ERCC6L, TUBB4A, BUB1B, MYL12A, KIF5A, DIAPH1, PKN1, INCENP, TUBA1A, PPP2R1B, KLC3, SPC25, RTKN, TUBB2A, PIK3C3"
"18","Muscle contraction",204,"9.696e-07","CALD1, MYL9, MYL2, FGF14, KCNE5, TRPC1, MYLK, TLN1, NPR2, FKBP1B, CAV3, TPM2, SORBS3, CACNB1, KCNIP1, SCN9A, ANXA2, ANXA1, VIM, MYH3, SCN1B, ATP1B3, KCNK7, MYL4, SLC8A1, FGF11, TMOD2, KCNIP3, FXYD7, CAMK2A, MYL1, CACNG7, ACTN3, SCN5A, TNNC1, ITGA1, NKX2-5, FXYD1, KCNJ4, SCN2B, STIM1, WWTR1, CACNG6, RYR3, LMOD1, ACTA2, ATP2B4, FXYD6, DYSF, SCN3A, MME, KCNE1, TNNC2, ATP2B1, KCND1, TPM1, VCL, ACTC1, KCNJ2, TMOD3, NPR1, MYL12A, TNNT1, PXN, RYR2, KCNJ14, ABCC9, DES, MYL11, CACNG8, SLN, RANGRF, ORAI2, SRI, MYL6B, TBX5, CALM2, ATP1A1, MYL7, SCN4B, MYBPC2, ITGB5, SCN2A, NPPC, ACTN2, ATP1B2"
"19","Cell-Cell communication",128,"2.190e-06","PVR, ITGB1, ACTN1, FYN, LIMS2, FLNC, KIRREL1, PARVA, LAMC2, ACTN4, FLNA, LAMB3, CLDN11, NECTIN3, LAMA3, ITGA6, SPTAN1, FBLIM1, IQGAP1, SPTBN1, CLDN6, KIRREL3, DST, SIRPB1, CLDN16, CDH6, CDH2, ACTN3, COL17A1, CDH11, KRT14, PARD3, CTNNB1, ACTG1, KIRREL2, SRC, SIRPA, SKAP2, CLDN18, CLDN1, NCK1, PRKCI, PIK3CA, RSU1, SIRPG"
"20","Cristae formation",31,"2.190e-06","MTX1, APOOL, ATP5PF, ATP5F1C, ATP5F1B, ATP5MC3, ATP5MF, ATP5ME, APOO, HSPA9, ATP5MC1, ATP5F1E, ATP5MC2, MICOS10, MTX2, ATP5PD, CHCHD3, ATP5F1D, ATP5PB, DNAJC11, ATP5F1A, MICOS13, ATP5PO"
