"","SYMBOL","ENSEMBL","ENTREZID"
"2958","OXCT2","ENSG00000198754","64064"
"2959","IFNE","ENSG00000184995","338376"
"2960","CD1E","ENSG00000158488","913"
"2961","PIGK","ENSG00000142892","10026"
"2962","SPAG9","ENSG00000008294","9043"
"2963","CD200","ENSG00000091972","4345"
"2964","PRKCSH","ENSG00000130175","5589"
"2965","ABRAXAS1","ENSG00000163322","84142"
"2966","CIB4","ENSG00000157884","130106"
"2967","ARL13A","ENSG00000174225","392509"
"2968","PARVA","ENSG00000197702","55742"
"2969","CKM","ENSG00000104879","1158"
"2970","SLC22A25","ENSG00000196600","387601"
"2971","LSMEM1","ENSG00000181016","286006"
"2972","SYNPO","ENSG00000171992","11346"
"2973","RO60","ENSG00000116747","6738"
"2974","NEXN","ENSG00000162614","91624"
"2975","LINC01600","ENSG00000164385","154386"
"2976","LOC105371730","ENSG00000214708","105371730"
"2977","PPP1R2B","ENSG00000231989","153743"
"2978","CEACAM7","ENSG00000007306","1087"
"2979","CEACAM7","ENSG00000280501","1087"
"2980","SLC12A1","ENSG00000074803","6557"
"2981","SMC4","ENSG00000113810","10051"
"2982","PPP1R12B","ENSG00000077157","4660"
"2983","DBNL","ENSG00000136279","28988"
"2984","RPA4","ENSG00000204086","29935"
"2985","TNFSF14","ENSG00000125735","8740"
"2986","SMPD3","ENSG00000103056","55512"
"2987","LINC02192","ENSG00000261325","100507534"
"2988","RNF157-AS1","ENSG00000267128","100507218"
"2989","NACC1","ENSG00000160877","112939"
"2990","CHCHD10","ENSG00000250479","400916"
"2991","CHCHD10","ENSG00000273607","400916"
"2992","TAF9B","ENSG00000187325","51616"
"2993","TUT4","ENSG00000134744","23318"
"2994","RAB5C","ENSG00000108774","5878"
"2995","C1orf131","ENSG00000143633","128061"
"2996","STOX2","ENSG00000173320","56977"
"2997","MYO1H","ENSG00000174527","283446"
"2998","BIRC3","ENSG00000023445","330"
"2999","PLPPR1","ENSG00000148123","54886"
"3000","PLPPR1","ENSG00000276539","54886"
"3001","COL19A1","ENSG00000082293","1310"
"3002","OR10Q1","ENSG00000180475","219960"
"3003","C7orf61","ENSG00000185955","402573"
"3004","HERPUD1","ENSG00000051108","9709"
"3005","CALHM1","ENSG00000185933","255022"
"3006","SSBP3-AS1","ENSG00000198711","619518"
"3007","ZNF513","ENSG00000163795","130557"
"3008","TLR8-AS1","ENSG00000233338","349408"
"3009","ASCC1","ENSG00000138303","51008"
"3010","DEPDC7","ENSG00000121690","91614"
"3011","FAM193B","ENSG00000146067","54540"
"3012","SLC22A1","ENSG00000175003","6580"
"3013","PPWD1","ENSG00000113593","23398"
"3014","MFAP1","ENSG00000140259","4236"
"3015","TLK1","ENSG00000198586","9874"
"3016","C7orf31","ENSG00000153790","136895"
"3017","CACNA1D","ENSG00000157388","776"
"3018","BBS12","ENSG00000181004","166379"
"3019","SCML4","ENSG00000146285","256380"
"3020","HMX2","ENSG00000188816","3167"
"3021","SPX","ENSG00000134548","80763"
"3022","LINC01460","ENSG00000205334","100129995"
"3023","LOC101928834","ENSG00000233968","101928834"
"3024","CEBPA","ENSG00000245848","1050"
"3025","NSUN5","ENSG00000130305","55695"
"3026","KANK1","ENSG00000107104","23189"
"3027","FGD5","ENSG00000154783","152273"
"3028","TRPT1","ENSG00000149743","83707"
"3029","NFIC","ENSG00000141905","4782"
"3030","PSMG3","ENSG00000157778","84262"
"3031","KCNQ5","ENSG00000185760","56479"
"3032","RAD9A","ENSG00000172613","5883"
"3033","LDLRAP1","ENSG00000157978","26119"
"3034","PNPO","ENSG00000108439","55163"
"3035","COQ7","ENSG00000167186","10229"
"3036","LUARIS","ENSG00000231638","100506895"
"3037","MZT2B","ENSG00000152082","80097"
"3038","EMCN","ENSG00000164035","51705"
"3039","COPS6","ENSG00000168090","10980"
"3040","RAB9A","ENSG00000123595","9367"
"3041","EDF1","ENSG00000107223","8721"
"3042","SSRP1","ENSG00000149136","6749"
"3043","TFAM","ENSG00000108064","7019"
"3044","PRRX2","ENSG00000167157","51450"
"3045","GNGT2","ENSG00000167083","2793"
"3046","RSPO1","ENSG00000169218","284654"
"3047","FOSL2","ENSG00000075426","2355"
"3048","MRFAP1L1","ENSG00000178988","114932"
"3049","TK1","ENSG00000167900","7083"
"3050","BORCS7","ENSG00000166275","119032"
"3051","LINC00613","ENSG00000248330","100507528"
"3052","PRELID1","ENSG00000169230","27166"
"3053","YBX3","ENSG00000060138","8531"
"3054","C8orf82","ENSG00000213563","414919"
"3055","ACO2","ENSG00000100412","50"
"3056","SQOR","ENSG00000137767","58472"
"3057","CALB1","ENSG00000104327","793"
"3058","KIAA1671-AS1","ENSG00000203280","100128531"
"3059","LNX1","ENSG00000072201","84708"
"3060","MIR200B","ENSG00000207730","406984"
"3061","MIR1250","ENSG00000221025","100302229"
"3062","TOM1","ENSG00000100284","10043"
"3063","SCGB2A2","ENSG00000110484","4250"
"3064","CHROMR","ENSG00000223960","101927027"
"3065","GAL3ST1","ENSG00000128242","9514"
"3066","LOC105369332","ENSG00000256690","105369332"
"3067","RHOB","ENSG00000143878","388"
"3068","TIGIT","ENSG00000181847","201633"
"3069","PACERR","ENSG00000273129","103752588"
"3070","PDCD1LG2","ENSG00000197646","80380"
"3071","C9orf129","ENSG00000204352","445577"
"3072","ARHGEF38","ENSG00000236699","54848"
"3073","SRPK2","ENSG00000135250","6733"
"3074","NADK2","ENSG00000152620","133686"
"3075","PPP1R7","ENSG00000115685","5510"
"3076","LOC105376453","ENSG00000224215","105376453"
"3077","TMEM134","ENSG00000172663","80194"
"3078","NINJ1","ENSG00000131669","4814"
"3079","SCAPER","ENSG00000140386","49855"
"3080","GLYATL1B","ENSG00000255151","100287520"
"3081","LRTOMT","ENSG00000184154","220074"
"3082","LIPT2","ENSG00000175536","387787"
"3083","NID1","ENSG00000116962","4811"
"3084","LRIG2-DT","ENSG00000238198","100996251"
"3085","LRIG2-DT","ENSG00000281557","100996251"
"3086","FRMPD4","ENSG00000169933","9758"
"3087","GAK","ENSG00000178950","2580"
"3088","SYAP1","ENSG00000169895","94056"
"3089","PSG4","ENSG00000243137","5672"
"3090","LINC01257","ENSG00000204603","116437"
"3091","CCDC159","ENSG00000183401","126075"
"3092","TRIM48","ENSG00000150244","79097"
"3093","LINC01854","ENSG00000204460","151121"
"3094","WEE2-AS1","ENSG00000228775","285962"
"3095","CYSLTR1","ENSG00000173198","10800"
"3096","FECH","ENSG00000066926","2235"
"3097","RNF180","ENSG00000164197","285671"
"3098","DSTNP2","ENSG00000248593","171220"
"3099","CORO6","ENSG00000167549","84940"
"3100","ARL6IP6","ENSG00000177917","151188"
"3101","C5AR2","ENSG00000134830","27202"
"3102","POLH","ENSG00000170734","5429"
"3103","TMIE","ENSG00000181585","259236"
"3104","TPI1P2","ENSG00000230359","286016"
"3105","FGF11","ENSG00000161958","2256"
"3106","FGF11","ENSG00000283903","2256"
"3107","BORA","ENSG00000136122","79866"
"3108","LOC101927769","ENSG00000226097","101927769"
"3109","LINC02492","ENSG00000250590","100506272"
"3110","SPATA6","ENSG00000132122","54558"
"3111","CAAP1","ENSG00000120159","79886"
"3112","RABEP1","ENSG00000029725","9135"
"3113","PHKA1","ENSG00000067177","5255"
"3114","SOX13","ENSG00000143842","9580"
"3115","SFRP1","ENSG00000104332","6422"
"3116","SELENOV","ENSG00000186838","348303"
"3117","BCORL1","ENSG00000085185","63035"
"3118","LRRC52","ENSG00000162763","440699"
"3119","PRORSD1P","ENSG00000162997","344405"
"3120","FOXC1","ENSG00000054598","2296"
"3121","IFITM2","ENSG00000185201","10581"
"3122","ORC5","ENSG00000164815","5001"
"3123","C1QL4","ENSG00000186897","338761"
"3124","APBB1IP","ENSG00000077420","54518"
"3125","COL8A2","ENSG00000171812","1296"
"3126","LINC01654","ENSG00000261781","101927876"
"3127","LNCOG","ENSG00000257219","105369848"
"3128","ACTR1B","ENSG00000115073","10120"
"3129","SUSD1","ENSG00000106868","64420"
"3130","NUS1","ENSG00000153989","116150"
"3131","MEIOC","ENSG00000180336","284071"
"3132","LAMB4","ENSG00000091128","22798"
"3133","JMJD1C","ENSG00000171988","221037"
"3134","KCNQ1-AS1","ENSG00000229414","338653"
"3135","LOC91370","ENSG00000268812","91370"
"3136","DNLZ","ENSG00000213221","728489"
"3137","MKI67","ENSG00000148773","4288"
"3138","DDX59","ENSG00000118197","83479"
"3139","IL6-AS1","ENSG00000179428","541472"
"3140","RECQL4","ENSG00000160957","9401"
"3141","SUCLG2","ENSG00000172340","8801"
"3142","CC2D2A","ENSG00000048342","57545"
"3143","SYNE1","ENSG00000131018","23345"
"3144","TIFA","ENSG00000145365","92610"
"3145","CCDC36","ENSG00000173421","339834"
"3146","WNT4","ENSG00000162552","54361"
"3147","LAMA5","ENSG00000130702","3911"
"3148","CLIC5","ENSG00000112782","53405"
"3149","SFRP4","ENSG00000106483","6424"
"3150","OR5P2","ENSG00000183303","120065"
"3151","OR5P2","ENSG00000276025","120065"
"3152","OR5P2","ENSG00000280931","120065"
"3153","TRAPPC5","ENSG00000181029","126003"
"3154","SLC25A47","ENSG00000140107","283600"
"3155","SLC35F3","ENSG00000183780","148641"
"3156","GPX4","ENSG00000167468","2879"
"3157","KSR1","ENSG00000141068","8844"
"3158","CDIP1","ENSG00000089486","29965"
"3159","CDIP1","ENSG00000274336","29965"
"3160","TLE3","ENSG00000140332","7090"
"3161","EIF2AK3","ENSG00000172071","9451"
"3162","LOC392196","ENSG00000254923","392196"
"3163","GRIN2C","ENSG00000161509","2905"
"3164","MAN1B1-DT","ENSG00000268996","100289341"
"3165","H4C11","ENSG00000197238","8363"
"3166","UBE2Q2","ENSG00000140367","92912"
"3167","LINC01016","ENSG00000249346","100507584"
"3168","MSANTD4","ENSG00000170903","84437"
"3169","CR2","ENSG00000117322","1380"
"3170","LRIG3","ENSG00000139263","121227"
"3171","ERG","ENSG00000157554","2078"
"3172","ADAMTS10","ENSG00000142303","81794"
"3173","CA10","ENSG00000154975","56934"
"3174","PTX4","ENSG00000251692","390667"
"3175","GGTLC1","ENSG00000149435","92086"
"3176","CIB2","ENSG00000136425","10518"
"3177","LINC02029","ENSG00000241544","105374177"
"3178","SAMD8","ENSG00000156671","142891"
"3179","MAPK9","ENSG00000050748","5601"
"3180","LINC01115","ENSG00000237667","339822"
"3181","TTC36","ENSG00000172425","143941"
"3182","NUP210L","ENSG00000143552","91181"
"3183","SRL","ENSG00000185739","6345"
"3184","SDC4","ENSG00000124145","6385"
"3185","ALDH1L1-AS2","ENSG00000246022","100862662"
"3186","MIR1303","ENSG00000221552","100302284"
"3187","CYTH3","ENSG00000008256","9265"
"3188","APOBEC4","ENSG00000173627","403314"
"3189","RGL2","ENSG00000237441","5863"
"3190","RGL2","ENSG00000206282","5863"
"3191","RGL2","ENSG00000237825","5863"
"3192","RGL2","ENSG00000228736","5863"
"3193","RGL2","ENSG00000224841","5863"
"3194","FAM210A","ENSG00000177150","125228"
"3195","LINC01784","ENSG00000228338","105376745"
"3196","PDCL3","ENSG00000115539","79031"
"3197","LINC00313","ENSG00000185186","114038"
"3198","MYH15","ENSG00000144821","22989"
"3199","OSBPL3","ENSG00000070882","26031"
"3200","LINC01665","ENSG00000235343","101929350"
"3201","COL27A1","ENSG00000196739","85301"
"3202","STT3A","ENSG00000134910","3703"
"3203","DGCR6L","ENSG00000128185","85359"
"3204","PARD3","ENSG00000148498","56288"
"3205","BPIFA3","ENSG00000131059","128861"
"3206","LIMD2","ENSG00000136490","80774"
"3207","MPP1","ENSG00000130830","4354"
"3208","AP3M2","ENSG00000070718","10947"
"3209","SPATA31D3","ENSG00000186788","389762"
"3210","FAM177B","ENSG00000197520","400823"
"3211","BRAT1","ENSG00000106009","221927"
"3212","LRRC52-AS1","ENSG00000237463","400794"
"3213","RNU4ATAC","ENSG00000264229","100151683"
"3214","TRIM9","ENSG00000100505","114088"
"3215","ABLIM2","ENSG00000163995","84448"
"3216","LY6H","ENSG00000176956","4062"
"3217","LY6H","ENSG00000274488","4062"
"3218","HROB","ENSG00000125319","78995"
"3219","LTV1","ENSG00000135521","84946"
"3220","NKRF","ENSG00000186416","55922"
"3221","FAM210B","ENSG00000124098","116151"
"3222","NPIPB4","ENSG00000185864","440345"
"3223","NPIPB4","ENSG00000283855","440345"
"3224","EVI2A","ENSG00000126860","2123"
"3225","TUBB4A","ENSG00000104833","10382"
"3226","KDM7A","ENSG00000006459","80853"
"3227","HCG27","ENSG00000206344","253018"
"3228","DISC1","ENSG00000162946","27185"
"3229","TUBAL3","ENSG00000178462","79861"
"3230","LUC7L2","ENSG00000146963","51631"
"3231","PPP2R5D","ENSG00000112640","5528"
"3232","SPINK6","ENSG00000178172","404203"
"3233","DLX5","ENSG00000105880","1749"
"3234","TMEM63C","ENSG00000165548","57156"
"3235","SLC35A3","ENSG00000117620","23443"
"3236","LINC01620","ENSG00000168746","140834"
"3237","PEAK1","ENSG00000173517","79834"
"3238","ARHGAP30","ENSG00000186517","257106"
"3239","FOXH1","ENSG00000160973","8928"
"3240","SNORA60","ENSG00000199266","677837"
"3241","APCS","ENSG00000132703","325"
"3242","TMEM120A","ENSG00000189077","83862"
"3243","NTF3","ENSG00000185652","4908"
"3244","HOXB-AS3","ENSG00000233101","404266"
"3245","KRT79","ENSG00000185640","338785"
"3246","SLC17A9","ENSG00000101194","63910"
"3247","LOC440040","ENSG00000205035","440040"
"3248","ADRA1B","ENSG00000170214","147"
"3249","RAP2B","ENSG00000181467","5912"
"3250","UBR7","ENSG00000012963","55148"
"3251","UBR7","ENSG00000278787","55148"
"3252","NDUFB2-AS1","ENSG00000240889","100134713"
"3253","AGBL5-AS1","ENSG00000231636","100874031"
"3254","MRGPRG-AS1","ENSG00000236301","283303"
"3255","DCAF11","ENSG00000100897","80344"
"3256","DCAF11","ENSG00000284796","80344"
"3257","PIK3R2","ENSG00000105647","5296"
"3258","NCSTN","ENSG00000162736","23385"
"3259","LINC00575","ENSG00000231782","439934"
"3260","MRC2","ENSG00000011028","9902"
"3261","KMT5A","ENSG00000183955","387893"
"3262","CSRNP1","ENSG00000144655","64651"
"3263","REEP6","ENSG00000115255","92840"
"3264","RBM26","ENSG00000139746","64062"
"3265","NPR1","ENSG00000169418","4881"
"3266","MKX","ENSG00000150051","283078"
"3267","INSIG2","ENSG00000125629","51141"
"3268","CDC25C","ENSG00000158402","995"
"3269","SIRPD","ENSG00000125900","128646"
"3270","NRP1","ENSG00000099250","8829"
"3271","SEPTIN9-DT","ENSG00000263718","105371907"
"3272","ULK1","ENSG00000177169","8408"
"3273","GNG10","ENSG00000242616","2790"
"3274","ZNF295-AS1","ENSG00000237232","150142"
"3275","PNPT1","ENSG00000138035","87178"
"3276","TTC3","ENSG00000182670","7267"
"3277","ANKUB1","ENSG00000206199","389161"
"3278","RGS21","ENSG00000253148","431704"
"3279","IDH1","ENSG00000138413","3417"
"3280","ADCY1","ENSG00000164742","107"
"3281","ARID3B","ENSG00000179361","10620"
"3282","JMJD7","ENSG00000243789","100137047"
"3283","LOC107984813","ENSG00000259804","107984813"
"3284","NPHP1","ENSG00000144061","4867"
"3285","LINC02864","ENSG00000263711","400655"
"3286","P2RY10","ENSG00000078589","27334"
"3287","HSPA12B","ENSG00000132622","116835"
"3288","PRAMEF25","ENSG00000229571","441873"
"3289","PRAMEF25","ENSG00000276299","441873"
"3290","PRAMEF25","ENSG00000282566","441873"
"3291","PRAMEF25","ENSG00000283348","441873"
"3292","SLAIN2","ENSG00000109171","57606"
"3293","BTN2A1","ENSG00000112763","11120"
"3294","NDUFA7","ENSG00000267855","4701"
"3295","AKAP9","ENSG00000127914","10142"
"3296","TICAM1","ENSG00000127666","148022"
"3297","KLHL5","ENSG00000109790","51088"
"3298","STAM-AS1","ENSG00000260589","102723166"
"3299","LINC02620","ENSG00000225768","101927523"
"3300","TMEM72","ENSG00000187783","643236"
"3301","DHRS4L2","ENSG00000187630","317749"
"3302","CYP2S1","ENSG00000167600","29785"
"3303","BICD2","ENSG00000185963","23299"
"3304","ANKRD55","ENSG00000164512","79722"
"3305","STRC","ENSG00000242866","161497"
"3306","CFAP57","ENSG00000243710","149465"
"3307","PDK3","ENSG00000067992","5165"
"3308","GGT6","ENSG00000167741","124975"
"3309","LINC-ROR","ENSG00000258609","100885779"
"3310","VSIR","ENSG00000107738","64115"
"3311","TTC26","ENSG00000105948","79989"
"3312","C2orf78","ENSG00000187833","388960"
"3313","ODC1","ENSG00000115758","4953"
"3314","PHLDA1","ENSG00000139289","22822"
"3315","ASTN2","ENSG00000148219","23245"
"3316","LINC01136","ENSG00000233791","730227"
"3317","TBATA","ENSG00000166220","219793"
"3318","DNMBP","ENSG00000107554","23268"
"3319","PRMT7","ENSG00000132600","54496"
"3320","ENPP6","ENSG00000164303","133121"
"3321","DENND2D","ENSG00000162777","79961"
"3322","DNAJC18","ENSG00000170464","202052"
"3323","DNAJC18","ENSG00000288275","202052"
"3324","LOC154449","ENSG00000230960","154449"
"3325","TNFAIP3","ENSG00000118503","7128"
"3326","FAM110A","ENSG00000125898","83541"
"3327","WDPCP","ENSG00000143951","51057"
"3328","AMTN","ENSG00000187689","401138"
"3329","PRKCH","ENSG00000027075","5583"
"3330","HCCAT5","ENSG00000260880","283902"
"3331","KRTAP12-1","ENSG00000187175","353332"
"3332","HSPA4","ENSG00000170606","3308"
"3333","INTU","ENSG00000164066","27152"
"3334","LINC01992","ENSG00000260019","105371708"
"3335","RNF41","ENSG00000181852","10193"
"3336","FAM184B","ENSG00000047662","27146"
"3337","ACPP","ENSG00000014257","55"
"3338","TBC1D5","ENSG00000131374","9779"
"3339","RALBP1","ENSG00000017797","10928"
"3340","DENND2C","ENSG00000175984","163259"
"3341","LINC01874","ENSG00000223985","727944"
"3342","CAMK2A","ENSG00000070808","815"
"3343","ST6GALNAC4","ENSG00000136840","27090"
"3344","IQCF6","ENSG00000214686","440956"
"3345","ZKSCAN7-AS1","ENSG00000236869","112840933"
"3346","ZKSCAN7-AS1","ENSG00000281456","112840933"
"3347","POU2F2","ENSG00000028277","5452"
"3348","CTSC","ENSG00000109861","1075"
"3349","MMAB","ENSG00000139428","326625"
"3350","BST2","ENSG00000130303","684"
"3351","PIP4P1","ENSG00000165782","90809"
"3352","LINC02444","ENSG00000258123","101928137"
"3353","PKLR","ENSG00000143627","5313"
"3354","PKLR","ENSG00000262785","5313"
"3355","PLEKHH2","ENSG00000152527","130271"
"3356","SRD5A3-AS1","ENSG00000249700","100506462"
"3357","TUBB2B","ENSG00000137285","347733"
"3358","PDE1C","ENSG00000154678","5137"
"3359","CCN3","ENSG00000136999","4856"
"3360","FGD6","ENSG00000180263","55785"
"3361","PTOV1-AS1","ENSG00000268006","100506033"
"3362","MREG","ENSG00000118242","55686"
"3363","TMEM271","ENSG00000273238","112441426"
"3364","ETFRF1","ENSG00000205707","144363"
"3365","C1QTNF4","ENSG00000172247","114900"
"3366","C1QTNF4","ENSG00000284838","114900"
"3367","APOL4","ENSG00000100336","80832"
"3368","ATP5F1C","ENSG00000165629","509"
"3369","LINC02684","ENSG00000255512","105369589"
"3370","GYPE","ENSG00000197465","2996"
"3371","DLG2","ENSG00000150672","1740"
"3372","GLDC","ENSG00000178445","2731"
"3373","ALOX15B","ENSG00000179593","247"
"3374","PLEKHG2","ENSG00000090924","64857"
"3375","CRHR2","ENSG00000106113","1395"
"3376","C21orf58","ENSG00000160298","54058"
"3377","AMPH","ENSG00000078053","273"
"3378","NUP160","ENSG00000030066","23279"
"3379","NUP160","ENSG00000285358","23279"
"3380","JRKL","ENSG00000183340","8690"
"3381","SIRT5","ENSG00000124523","23408"
"3382","LOC101927870","ENSG00000234715","101927870"
"3383","TMEM62","ENSG00000137842","80021"
"3384","MCM8","ENSG00000125885","84515"
"3385","PMS2CL","ENSG00000187953","441194"
"3386","NLE1","ENSG00000073536","54475"
"3387","NDUFB5","ENSG00000136521","4711"
"3388","KCTD17","ENSG00000100379","79734"
"3389","KMT5C","ENSG00000133247","84787"
"3390","PLEKHF2","ENSG00000175895","79666"
"3391","MAP3K15","ENSG00000180815","389840"
"3392","PRXL2B","ENSG00000157870","127281"
"3393","PRXL2B","ENSG00000275125","127281"
"3394","CERS2","ENSG00000143418","29956"
"3395","IRF7","ENSG00000185507","3665"
"3396","IRF7","ENSG00000276561","3665"
"3397","ARHGEF38-IT1","ENSG00000249885","100874374"
"3398","OXSR1","ENSG00000172939","9943"
"3399","GPR101","ENSG00000165370","83550"
"3400","CASC16","ENSG00000249231","643714"
"3401","SULT1A4","ENSG00000213648","445329"
"3402","URAD","ENSG00000183463","646625"
"3403","LMAN1L","ENSG00000140506","79748"
"3404","C6orf58","ENSG00000184530","352999"
"3405","A4GALT","ENSG00000128274","53947"
"3406","HOXB9","ENSG00000170689","3219"
"3407","C4orf51","ENSG00000237136","646603"
"3408","CMTR1","ENSG00000137200","23070"
"3409","MAGEE2","ENSG00000186675","139599"
"3410","SCN5A","ENSG00000183873","6331"
"3411","NKX1-2","ENSG00000229544","390010"
"3412","PGS1","ENSG00000087157","9489"
"3413","NEBL-AS1","ENSG00000231920","100128511"
"3414","ECH1","ENSG00000104823","1891"
"3415","ECH1","ENSG00000282853","1891"
"3416","HOXB8","ENSG00000120068","3218"
"3417","NAA38","ENSG00000183011","84316"
"3418","AP5Z1","ENSG00000242802","9907"
"3419","CPT1B","ENSG00000205560","1375"
"3420","GAD1","ENSG00000128683","2571"
"3421","EFHC1","ENSG00000096093","114327"
"3422","QRFPR","ENSG00000186867","84109"
"3423","TMEM98","ENSG00000006042","26022"
"3424","SARM1","ENSG00000004139","23098"
"3425","LINC02251","ENSG00000258483","105371008"
"3426","EVL","ENSG00000196405","51466"
"3427","LARGE-AS1","ENSG00000224973","100506195"
"3428","GJA3","ENSG00000121743","2700"
"3429","BMPER","ENSG00000164619","168667"
"3430","STXBP5","ENSG00000164506","134957"
"3431","SPIN1","ENSG00000106723","10927"
"3432","TMEM175","ENSG00000127419","84286"
"3433","METRNL","ENSG00000176845","284207"
"3434","METRNL","ENSG00000275031","284207"
"3435","DHX34","ENSG00000134815","9704"
"3436","RABL6","ENSG00000196642","55684"
"3437","SLC16A14","ENSG00000163053","151473"
"3438","TAPT1","ENSG00000169762","202018"
"3439","CTRB1","ENSG00000168925","1504"
"3440","CTRB1","ENSG00000285346","1504"
"3441","ZNF3","ENSG00000166526","7551"
"3442","NUP153","ENSG00000124789","9972"
"3443","LINC02243","ENSG00000236091","340581"
"3444","ABCC6P1","ENSG00000256340","653190"
"3445","RPGRIP1","ENSG00000092200","57096"
"3446","UGCG","ENSG00000148154","7357"
"3447","MOGS","ENSG00000115275","7841"
"3448","ASCL4","ENSG00000187855","121549"
"3449","HCP5","ENSG00000206337","10866"
"3450","HCP5","ENSG00000230389","10866"
"3451","HCP5","ENSG00000227429","10866"
"3452","HCP5","ENSG00000237105","10866"
"3453","ATF7IP","ENSG00000171681","55729"
"3454","TMEM63B","ENSG00000137216","55362"
"3455","LINC02747","ENSG00000255774","105379407"
"3456","GPX1","ENSG00000233276","2876"
"3457","CALR","ENSG00000179218","811"
"3458","C1QTNF7-AS1","ENSG00000249252","101929095"
"3459","CLPP","ENSG00000125656","8192"
"3460","CCR7","ENSG00000126353","1236"
"3461","MRPS25","ENSG00000131368","64432"
"3462","ARPP21","ENSG00000172995","10777"
"3463","GIMAP2","ENSG00000106560","26157"
"3464","VCPIP1","ENSG00000175073","80124"
"3465","PTCD1","ENSG00000106246","26024"
"3466","LEMD1-DT","ENSG00000224717","284577"
"3467","KCNJ11","ENSG00000187486","3767"
"3468","SEMA3A","ENSG00000075213","10371"
"3469","C18orf63","ENSG00000206043","644041"
"3470","NUP58","ENSG00000139496","9818"
"3471","IFT81","ENSG00000122970","28981"
"3472","CYP2A7","ENSG00000198077","1549"
"3473","LOC644135","ENSG00000237596","644135"
"3474","ERICH5","ENSG00000177459","203111"
"3475","ANKRD28","ENSG00000206560","23243"
"3476","KCNT2","ENSG00000162687","343450"
"3477","OR2A14","ENSG00000221938","135941"
"3478","OR2A14","ENSG00000284891","135941"
"3479","ATP6V0C","ENSG00000185883","527"
"3480","LOC257396","ENSG00000247796","257396"
"3481","LINC01043","ENSG00000260343","101928752"
"3482","ATP6V1H","ENSG00000047249","51606"
"3483","ALDH4A1","ENSG00000159423","8659"
"3484","MAP3K21","ENSG00000143674","84451"
"3485","TYMS","ENSG00000176890","7298"
"3486","MTMR2","ENSG00000087053","8898"
"3487","NYNRIN","ENSG00000205978","57523"
"3488","EMC9","ENSG00000100908","51016"
"3489","EMC9","ENSG00000285377","51016"
"3490","SCD5","ENSG00000145284","79966"
"3491","NTN4","ENSG00000074527","59277"
"3492","SETD1B","ENSG00000139718","23067"
"3493","ARHGAP36","ENSG00000147256","158763"
"3494","TNR","ENSG00000116147","7143"
"3495","XXYLT1-AS2","ENSG00000230266","101410543"
"3496","LOC101929626","ENSG00000227857","101929626"
"3497","PCDH9","ENSG00000184226","5101"
"3498","EIF2S3B","ENSG00000180574","255308"
"3499","AFAP1L1","ENSG00000157510","134265"
"3500","KDM3A","ENSG00000115548","55818"
"3501","CYCS","ENSG00000172115","54205"
"3502","PIGT","ENSG00000124155","51604"
"3503","CBX8","ENSG00000141570","57332"
"3504","TDRD15","ENSG00000218819","100129278"
"3505","COX8A","ENSG00000176340","1351"
"3506","LRRC8A","ENSG00000136802","56262"
"3507","GLIS3-AS1","ENSG00000237009","84850"
"3508","LOC101927188","ENSG00000265069","101927188"
"3509","ZNF845","ENSG00000213799","91664"
"3510","KLHL2","ENSG00000109466","11275"
"3511","P3H4","ENSG00000141696","10609"
"3512","MIR3944","ENSG00000265395","100500911"
"3513","SEC11C","ENSG00000166562","90701"
"3514","LOC100506271","ENSG00000237862","100506271"
"3515","LOC100129175","ENSG00000224090","100129175"
"3516","ADAMTSL1","ENSG00000178031","92949"
"3517","B4GALT6","ENSG00000118276","9331"
"3518","EEF2KMT","ENSG00000118894","196483"
"3519","PRPF3","ENSG00000117360","9129"
"3520","LOC101928978","ENSG00000250546","101928978"
"3521","TBXA2R","ENSG00000006638","6915"
"3522","CLMN","ENSG00000165959","79789"
"3523","LEMD1","ENSG00000186007","93273"
"3524","H1-8","ENSG00000178804","132243"
"3525","ADAM18","ENSG00000168619","8749"
"3526","ADAM18","ENSG00000278548","8749"
"3527","LOC107986163","ENSG00000272970","107986163"
"3528","MYLIP","ENSG00000007944","29116"
"3529","UQCRQ","ENSG00000164405","27089"
"3530","TMEM184C","ENSG00000164168","55751"
"3531","CLEC3A","ENSG00000166509","10143"
"3532","LINC01836","ENSG00000267530","107985343"
"3533","ADRA2C","ENSG00000184160","152"
"3534","GABBR1","ENSG00000204681","2550"
"3535","GABBR1","ENSG00000232569","2550"
"3536","GABBR1","ENSG00000206511","2550"
"3537","GABBR1","ENSG00000237112","2550"
"3538","GABBR1","ENSG00000232632","2550"
"3539","GABBR1","ENSG00000206466","2550"
"3540","GABBR1","ENSG00000237051","2550"
"3541","GPATCH1","ENSG00000076650","55094"
"3542","CCHCR1","ENSG00000204536","54535"
"3543","CCHCR1","ENSG00000234114","54535"
"3544","CCHCR1","ENSG00000224180","54535"
"3545","CCHCR1","ENSG00000206457","54535"
"3546","CCHCR1","ENSG00000206355","54535"
"3547","CCHCR1","ENSG00000223533","54535"
"3548","AUTS2","ENSG00000158321","26053"
"3549","TMEM123","ENSG00000152558","114908"
"3550","PSMB2","ENSG00000126067","5690"
"3551","FH","ENSG00000091483","2271"
"3552","SRSF10","ENSG00000188529","10772"
"3553","ASCL5","ENSG00000232237","647219"
"3554","LINC02734","ENSG00000255382","105369413"
"3555","RUVBL1","ENSG00000175792","8607"
"3556","RUVBL1","ENSG00000284901","8607"
