"","SYMBOL","ENSEMBL","ENTREZID"
"143","RHOH","ENSG00000168421","399"
"144","ARL8A","ENSG00000143862","127829"
"145","SPIRE2","ENSG00000204991","84501"
"146","FCGRT","ENSG00000104870","2217"
"147","ZBTB41","ENSG00000177888","360023"
"148","CNTNAP1","ENSG00000108797","8506"
"149","CYS1","ENSG00000205795","192668"
"150","TMEM43","ENSG00000170876","79188"
"151","ADRB2","ENSG00000169252","154"
"152","WDHD1","ENSG00000198554","11169"
"153","DEPDC1B","ENSG00000035499","55789"
"154","GYS2","ENSG00000111713","2998"
"155","SERF2","ENSG00000140264","10169"
"156","SMC2-AS1","ENSG00000270332","101928550"
"157","LINC01679","ENSG00000237989","101928399"
"158","MFAP5","ENSG00000197614","8076"
"159","CALD1","ENSG00000122786","800"
"160","DENND2A","ENSG00000146966","27147"
"161","TMSB15B-AS1","ENSG00000231728","100128594"
"162","ANO8","ENSG00000074855","57719"
"163","HAPLN3","ENSG00000140511","145864"
"164","INSYN2B","ENSG00000204767","100131897"
"165","TOP2A","ENSG00000131747","7153"
"166","EFCC1","ENSG00000114654","79825"
"167","TCEAL9","ENSG00000185222","51186"
"168","NABP1","ENSG00000173559","64859"
"169","ACTN1","ENSG00000072110","87"
"170","APOE","ENSG00000130203","348"
"171","DNPEP","ENSG00000123992","23549"
"172","SYT12","ENSG00000173227","91683"
"173","DHX35","ENSG00000101452","60625"
"174","PSORS1C1","ENSG00000204540","170679"
"175","PSORS1C1","ENSG00000235487","170679"
"176","PSORS1C1","ENSG00000233734","170679"
"177","PSORS1C1","ENSG00000206458","170679"
"178","PSORS1C1","ENSG00000233439","170679"
"179","PSORS1C1","ENSG00000231094","170679"
"180","LYSMD1","ENSG00000163155","388695"
"181","DLK2","ENSG00000171462","65989"
"182","PHKG1","ENSG00000164776","5260"
"183","ZNF660","ENSG00000144792","285349"
"184","ZNF660","ENSG00000280661","285349"
"185","KIF7","ENSG00000166813","374654"
"186","PALM2AKAP2","ENSG00000157654","445815"
"187","PALM2AKAP2","ENSG00000241978","445815"
"188","PALM2AKAP2","ENSG00000243444","445815"
"189","IGDCC4","ENSG00000103742","57722"
"190","LOC102724163","ENSG00000260228","102724163"
"191","SPINK8","ENSG00000229453","646424"
"192","UACA","ENSG00000137831","55075"
"193","SH3BP5-AS1","ENSG00000224660","100505696"
"194","CX3CR1","ENSG00000168329","1524"
"195","RAB6C","ENSG00000222014","84084"
"196","MCAM","ENSG00000076706","4162"
"197","ITGB1","ENSG00000150093","3688"
"198","DEPTOR","ENSG00000155792","64798"
"199","CIAO3","ENSG00000103245","64428"
"200","DLC1","ENSG00000164741","10395"
"201","DLC1","ENSG00000285265","10395"
"202","ATP6V1F","ENSG00000128524","9296"
"203","FLNC","ENSG00000128591","2318"
"204","DEK","ENSG00000124795","7913"
"205","SOD1","ENSG00000142168","6647"
"206","GNRHR2","ENSG00000211451","114814"
"207","ATG4D","ENSG00000130734","84971"
"208","SSH1","ENSG00000084112","54434"
"209","FAM171A1","ENSG00000148468","221061"
"210","SLC39A10","ENSG00000196950","57181"
"211","MAFB","ENSG00000204103","9935"
"212","SGPP1","ENSG00000126821","81537"
"213","SGPP1","ENSG00000285281","81537"
"214","SERPING1","ENSG00000149131","710"
"215","CCN2","ENSG00000118523","1490"
"216","RAB27B","ENSG00000041353","5874"
"217","TPX2","ENSG00000088325","22974"
"218","CYP24A1","ENSG00000019186","1591"
"219","AHNAK2","ENSG00000185567","113146"
"220","UTP6","ENSG00000108651","55813"
"221","LAMA2","ENSG00000196569","3908"
"222","ARNTL2","ENSG00000029153","56938"
"223","LINC00857","ENSG00000237523","439990"
"224","TSPAN3","ENSG00000140391","10099"
"225","FOXA1","ENSG00000129514","3169"
"226","SEMA7A","ENSG00000138623","8482"
"227","SEMA7A","ENSG00000288455","8482"
"228","PRNP","ENSG00000171867","5621"
"229","CMTM7","ENSG00000153551","112616"
"230","CCDC80","ENSG00000091986","151887"
"231","MCEE","ENSG00000124370","84693"
"232","TGFB1","ENSG00000105329","7040"
"233","LHFPL6","ENSG00000183722","10186"
"234","TMEM150A","ENSG00000168890","129303"
"235","LINC02582","ENSG00000261780","100505817"
"236","CREB3L4","ENSG00000143578","148327"
"237","TARP","ENSG00000211689","445347"
"238","TJAP1","ENSG00000137221","93643"
"239","MIR9-3HG","ENSG00000255571","254559"
"240","ACSL4","ENSG00000068366","2182"
"241","EPB41L2","ENSG00000079819","2037"
"242","ISLR2","ENSG00000167178","57611"
"243","GPR1","ENSG00000183671","2825"
"244","GPR1","ENSG00000283448","2825"
"245","FLNA","ENSG00000196924","2316"
"246","POGLUT3","ENSG00000178202","143888"
"247","IRX5","ENSG00000176842","10265"
"248","PTPN18","ENSG00000072135","26469"
"249","LOC105376805","ENSG00000238142","105376805"
"250","LINC02716","ENSG00000205106","374387"
"251","GAS6","ENSG00000183087","2621"
"252","TAT","ENSG00000198650","6898"
"253","OTUD7A","ENSG00000169918","161725"
"254","FOLR1","ENSG00000110195","2348"
"255","WASL","ENSG00000106299","8976"
"256","LAYN","ENSG00000204381","143903"
"257","SLC38A9","ENSG00000177058","153129"
"258","SETD7","ENSG00000145391","80854"
"259","ISOC1","ENSG00000066583","51015"
"260","MRPS34","ENSG00000074071","65993"
"261","LINC01108","ENSG00000226673","102216342"
"262","CALHM3","ENSG00000183128","119395"
"263","SCYL3","ENSG00000000457","57147"
"264","GAS6-DT","ENSG00000272695","100506394"
"265","LINC00504","ENSG00000248360","201853"
"266","BLVRB","ENSG00000090013","645"
"267","PSG5","ENSG00000204941","5673"
"268","ENDOG","ENSG00000167136","2021"
"269","FAM214A","ENSG00000047346","56204"
"270","EPHA2","ENSG00000142627","1969"
"271","MRPL41","ENSG00000182154","64975"
"272","PHLDB2","ENSG00000144824","90102"
"273","SEC14L1","ENSG00000129657","6397"
"274","CORO1C","ENSG00000110880","23603"
"275","PHPT1","ENSG00000054148","29085"
"276","ZNF512","ENSG00000243943","84450"
"277","SLC26A2","ENSG00000155850","1836"
"278","DRAIC","ENSG00000245750","145837"
"279","CAV2","ENSG00000105971","858"
"280","ELF2","ENSG00000109381","1998"
"281","CLCNKB","ENSG00000184908","1188"
"282","LINC02544","ENSG00000261039","101929504"
"283","ITGA3","ENSG00000005884","3675"
"284","SAMD4A","ENSG00000020577","23034"
"285","CERS5","ENSG00000139624","91012"
"286","XBP1","ENSG00000100219","7494"
"287","XPO5","ENSG00000124571","57510"
"288","P3H2","ENSG00000090530","55214"
"289","CATSPER1","ENSG00000175294","117144"
"290","HDAC7","ENSG00000061273","51564"
"291","CRIM1","ENSG00000150938","51232"
"292","CRIM1","ENSG00000277354","51232"
"293","CTDSP1","ENSG00000144579","58190"
"294","S1PR1","ENSG00000170989","1901"
"295","PPP1R14A","ENSG00000167641","94274"
"296","PER2","ENSG00000132326","8864"
"297","EME2","ENSG00000197774","197342"
"298","SFTA1P","ENSG00000225383","207107"
"299","AP1AR","ENSG00000138660","55435"
"300","BICD1","ENSG00000151746","636"
