block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
2,Dasatinib,AZD3759,0.03125,0,57.02062185,uM,uM
2,Dasatinib,AZD3759,0.0625,0,40.94346349,uM,uM
2,Dasatinib,AZD3759,0.125,0,30.38672996,uM,uM
2,Dasatinib,AZD3759,0.25,0,27.06546826,uM,uM
2,Dasatinib,AZD3759,0,0.15625,100.3939016,uM,uM
2,Dasatinib,AZD3759,0,0.3125,93.41929268,uM,uM
2,Dasatinib,AZD3759,0,0.625,84.66334165,uM,uM
2,Dasatinib,AZD3759,0,1.25,73.31274088,uM,uM
2,Dasatinib,AZD3759,0,2.5,63.4221265,uM,uM
2,Dasatinib,AZD3759,0,5,54.34481977,uM,uM
2,Dasatinib,AZD3759,0,10,50.51764528,uM,uM
2,Dasatinib,AZD3759,0,20,47.23135343,uM,uM
2,Dasatinib,AZD3759,0.001953125,0.15625,77.48890066,uM,uM
2,Dasatinib,AZD3759,0.00390625,0.3125,67.88591892,uM,uM
2,Dasatinib,AZD3759,0.0078125,0.625,58.00766144,uM,uM
2,Dasatinib,AZD3759,0.015625,1.25,53.40836424,uM,uM
2,Dasatinib,AZD3759,0.03125,2.5,42.27796759,uM,uM
2,Dasatinib,AZD3759,0.0625,5,41.15615808,uM,uM
2,Dasatinib,AZD3759,0.125,10,42.10987887,uM,uM
2,Dasatinib,AZD3759,0.25,20,45.97591946,uM,uM
2,Dasatinib,AZD3759,0.001953125,0,80.57817733,uM,uM
2,Dasatinib,AZD3759,0.00390625,0,68.79957694,uM,uM
2,Dasatinib,AZD3759,0.0078125,0,68.47170809,uM,uM
2,Dasatinib,AZD3759,0.015625,0,63.03543099,uM,uM
2,Dasatinib,AZD3759,0.03125,0,54.85986251,uM,uM
2,Dasatinib,AZD3759,0.0625,0,45.2388507,uM,uM
2,Dasatinib,AZD3759,0.125,0,34.19707386,uM,uM
2,Dasatinib,AZD3759,0.25,0,30.94306363,uM,uM
