"","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Gefitinib","Navitoclax","Vorinostat","Nilotinib","Olaparib","Axitinib","AZD7762","SB216763","KU-55933","Afatinib","Staurosporine","PLX-4720","NU7441","Doramapimod","Wee1 Inhibitor","Nutlin-3a (-)","Mirin","PD173074","ZM447439","Alisertib","RO-3306","MK-2206","Palbociclib","Dactolisib","Pictilisib","AZD8055","PD0325901","Obatoclax Mesylate","5-Fluorouracil","Dasatinib","Paclitaxel","Crizotinib","Rapamycin","Sorafenib","BI-2536","Irinotecan","Oxaliplatin","BMS-536924","GSK1904529A","Tozasertib","PF-4708671","PRIMA-1MET","Erlotinib","Niraparib","MK-1775","Dinaciclib","Gemcitabine","Bortezomib","GSK269962A","SB505124","Tamoxifen","Fulvestrant","EPZ004777","YK-4-279","Daporinad","BMS-345541","AZ960","Talazoparib","XAV939","Trametinib","Dabrafenib","Temozolomide","AZD5438","IAP_5620","AZD2014","AZD1208","AZD1332","Ruxolitinib","Linsitinib","Epirubicin","Cyclophosphamide","Pevonedistat","Sapitinib","Uprosertib","LCL161","Lapatinib","Luminespib","Alpelisib","Taselisib","EPZ5676","SCH772984","IWP-2","Leflunomide","Entinostat","OSI-027","LGK974","VE-822","WZ4003","CZC24832","AZD5582","GSK2606414","PFI3","PCI-34051","Wnt-C59","I-BET-762","RVX-208","OTX015","GSK343","ML323","Entospletinib","PRT062607","Ribociclib","AGI-6780","Picolinici-acid","AZD5153","CDK9_5576","CDK9_5038","Eg5_9814","ERK_2440","ERK_6604","IRAK4_4710","JAK1_8709","AZD5991","PAK_5339","TAF1_5496","ULK1_4989","VSP34_8731","Selumetinib","IGF1R_3801","JAK_8517","AZD4547","Ibrutinib","Zoledronate","Acetalax","Carmustine","Topotecan","Teniposide","Mitoxantrone","Dactinomycin","Fludarabine","Nelarabine","Vincristine","Podophyllotoxin bromide","Dihydrorotenone","Gallibiscoquinazole","Elephantin","Sinularin","Sabutoclax","LY2109761","OF-1","MN-64","KRAS (G12C) Inhibitor-12","MG-132","BDP-00009066","Buparlisib","Ulixertinib","Venetoclax","ABT737","Afuresertib","AGI-5198","AZD3759","AZD5363","AZD6738","AZD8186","Osimertinib","Cediranib","Ipatasertib","GDC0810","GNE-317","GSK2578215A","I-BRD9","Telomerase Inhibitor IX","MIRA-1","NVP-ADW742","P22077","Savolitinib","UMI-77","WIKI4","Sepantronium bromide","MIM1","WEHI-539","BPD-00008900","Foretinib","BIBR-1532","Pyridostatin","AMG-319","MK-8776","Vinorelbine","VX-11e","LJI308","AZ6102","GSK591","VE821","AZD6482","AT13148","BMS-754807","JQ1"
"MetaPathway1",0.276816854730529,0.180236784847249,0.294107435302144,0.0741147047879392,0.176296410274963,-0.212392177111385,-0.145646084153611,0.0426545146164157,-0.106798185129489,0.0481292602033154,0.23802161038596,0.164956303912471,0.238381856279523,0.225945603996816,-0.0920625902545055,0.153964214584811,0.0590558481896689,0.220886999381165,0.213979520816291,0.0288261984836724,0.135128523827363,0.0313084694992956,-0.0843266063173299,0.222202303731792,-0.000319630022778356,0.216325322315705,0.0497090213349572,0.168231046964143,0.0815411702554561,0.105032451540431,0.259688761168399,-0.0144797165609855,0.220572351558199,0.158660143612404,-0.016533948091868,0.0510554350367808,-0.151113971880212,0.0528381593064569,0.00491615703677194,0.188624481251464,0.190856078725098,0.0659912095910199,-0.0819831278178163,-0.00149926220522465,0.217373446389912,0.217622999740914,0.0829287625038074,-0.208351422255521,0.00101835415164123,0.0433142632019922,0.0785777096243816,0.210574077891267,0.0135569145893647,0.220093577915829,0.0952828537626257,0.00407180903848205,-0.146335016048214,-0.12011457519963,0.0480471007080156,-0.0212022348055646,0.067898170994312,0.0987566700545102,0.0885793237143403,-0.184614187521565,-0.00189386466906142,0.24787476508384,0.0206102173947081,0.112153158390442,0.0221038110433756,0.139530307211308,-0.0346793006834104,0.0427314032777829,-0.135393736858905,-0.039446066440464,0.163169153603519,-0.131261396020978,0.129162097599767,-0.187603566637734,0.113308043297079,-0.0216064752948996,-0.0887433419511031,0.32920381914306,-0.0414187643020595,0.063465635603251,-0.171862793841016,0.0540244102115985,-0.115342422555272,0.0746477275807713,0.0744817554848712,-0.116700505117281,-0.0055827459613972,-0.0653394174220001,-0.0647904841189881,-0.0525509654859069,0.120293935639397,0.114001245487609,-0.111537548833724,-0.0132739553691675,0.0549909727488889,0.0426172142340255,-0.0480973599961922,0.0409905427253708,-0.104604453762856,-0.0387005682714395,-0.0198438131128601,-0.0591208232295995,0.22466294721223,-0.00908884759837115,-0.104367559853829,0.0938701489702783,0.167515310835868,0.165936467189913,0.207751585504992,0.15152162470234,0.105743053187863,0.0398184367509952,0.138614577896654,0.0214801678032232,0.103651085356972,-0.0691849285657656,0.237323882641786,0.165518073623734,7.894218229777e-06,0.0719557991644173,0.0155358214762011,-0.143975568038162,-0.184403735083123,-0.146408332242554,-0.222617102776662,-0.10394115081758,0.181034325278723,0.138243388844744,0.166117905473632,0.151927952461769,0.00556700686214341,-0.130686473146771,0.178420595815788,0.186056476150103,-0.0636139110374855,-0.0847527441863619,0.0651616179097977,-0.140024594642328,0.136071861345326,-0.171842841608461,-0.0782223687608405,-0.140715259950455,0.0615451591500476,0.160387445534355,0.153075158563185,0.0652439851434239,-0.0564253925600432,0.0215900572273002,-0.283421071062131,0.0640917386415562,-0.22665320059683,-0.265537573985199,0.0901909111187914,-0.0502726727184723,-0.105840944085939,-0.218911051156198,-0.0965677273757028,0.0170232582501954,-0.169285530582611,0.0403789262453093,-0.106172412257709,-0.023163311527271,0.143738805058326,-0.129043716109849,-0.0372428167281743,-0.12173563213225,-0.104152034829777,0.00217821941448954,-0.230465084572186,0.220339521134541,-0.0877601445258103,-0.217348415489282,0.117852719262943,0.0168089124952346,-0.20236604559595,0.204757734013915,-0.117346653022026,-0.0111572659366114,0.163504345546313,0.0155657081195598,-0.0654203060630906,-0.00632258225343173,-0.00321259797396594,-0.00110507055615536,0.199657084416649,0.138283793380612,0.0897654604824736,0.207690776371051
"MetaPathway2",0.254998816381283,0.231515397176579,0.270379357334969,0.128688571640096,0.288452395748205,-0.104625560789448,0.00970605642893978,0.203408889191501,-0.185425133306689,-0.0609290077110671,0.461127980693144,0.201073168846212,0.3447426553603,0.445065923843739,-0.120777406911413,0.145315736549552,0.0263597088291808,0.435959377002034,0.431190757528052,0.159763267040906,0.19094119275381,-0.200047384160779,-0.150255469441954,0.440723695536312,0.0216638126549775,0.436755797255387,0.0967390661252333,0.234988459535575,0.336716417823174,0.188637036196971,0.33292933063534,0.0756496145341514,-0.0646852241747927,0.129787737710092,0.0207167607356342,0.103610179603235,-0.295188191159971,0.0365541553253962,0.0281081081299866,0.410467749335296,0.233143163766145,0.194012420209782,0.015910472244967,-0.237593605259549,0.443780724086081,0.432413568947959,0.0514071491123078,-0.160256968951538,0.0403078782812414,0.270222923863914,0.0840420624592798,0.216823831299169,-0.0529019530891157,0.426648886539823,-0.0549359859215138,0.0687157230757785,-0.0351574906445304,-0.0224731513709464,0.20739647823685,-0.0425232496380512,-0.042336692366294,0.00313400463722147,0.107292820687226,-0.144898375607557,0.173272835013544,0.145165077237266,0.164281939608747,0.0503414296512879,-0.199218491246652,-0.0415867416344652,-0.121397287937511,-0.0407420602838791,-0.134691151436455,0.009066519371893,0.157597331478049,-0.128791168931358,0.194287701253273,-0.275380730687288,0.0312081417347363,-0.192555771060721,-0.0712803314817992,0.113201294089797,-0.135745285252111,0.0154817328178016,-0.169858516998242,0.0472343707772772,-0.0929544196556241,0.100327619482236,0.068987976148556,0.0836376864804536,-0.0823366257727195,-0.057490317063372,-0.0240289388390105,-0.0228444692938736,-0.197409078777813,-0.00908093317938286,-0.111932372015437,0.0149401091959934,-0.138093356035693,-0.0197648484765176,-0.059136616156868,-0.0297775643647415,-0.0508137434863728,-0.212999210070151,-0.0860477642223783,0.0665119131912538,0.419968129619221,-0.210164794813769,-0.115177818569112,0.00779948761101967,0.0122044613832352,0.0141543332859902,-0.0106901646217249,0.0736214792109003,-0.0106098293008203,-0.110645362708554,0.0396052928587912,-0.172291312864883,0.00817051586781919,-0.12672588524261,-0.0895835884715094,-0.0555989789923194,-0.031221633098768,0.0385790444889202,0.0220564457339969,-0.169909006429512,-0.240739338755646,-0.121810848021878,-0.225688827130384,-0.0989032070189307,0.097852977355576,0.102290789918022,0.167176031600621,0.0423725303593543,0.0148611445596509,-0.0627453000377184,0.0508058470227385,0.045491526996891,-0.225017627721473,-0.069022988626944,0.0861504182496235,-0.239157190787247,0.00311120667189291,-0.136837818317848,-0.140572845616847,-0.110720483579984,0.0390638827707577,0.152764790623717,0.128215045680424,0.116013860119551,0.0676394461023959,0.086289208984111,-0.01460827585587,0.0737674524175134,-0.203276802387706,-0.137298852006792,0.0870025029903357,0.0742804388738243,-0.0595932420246757,-0.235231912566214,0.0311974686430331,0.0256966754115142,-0.195771415926911,0.16072628315826,-0.0640286018469334,0.051251293035127,0.167501916134514,-0.00972306637192431,0.061952979723706,-0.110165814517607,-0.0838219869612078,-0.0751012172039218,-0.133992062388418,0.183451848876121,-0.165252667826074,-0.0833484610015362,0.00931267720687555,0.037718426089917,-0.112547489463866,0.015001332799809,-0.0691418966903062,-0.0972817290666909,0.0643251793880311,0.113609146533886,0.0164537437244827,0.11857407067547,-0.0812779394052267,0.00408876105777483,0.406963547255559,0.129901043876062,-0.0447488851212331,0.435358298489778
"MetaPathway3",-0.273794681606565,-0.267663780194638,-0.252076305507613,-0.211697672370534,-0.12235090813349,0.0675563702464871,0.142631682888688,-0.187765086541044,0.0552140462059282,-0.100492222341223,-0.180776369936377,-0.0668994496194566,-0.0369319684740513,-0.150605447329444,-0.110582423915886,-0.0427294786139841,-0.0756702373349586,-0.167051837182038,-0.173339757605686,-0.114160584030465,-0.0946124558784247,-0.142253812500582,0.104578722081465,-0.13885148449727,0.0456715788103295,-0.158079570191941,-0.0928527746723456,-0.272782150730714,-0.160130695362292,-0.0846777534638345,-0.0552140082084392,-0.15613632239358,-0.237118632967812,-0.323159472895131,0.110244735510885,-0.04733083452096,-0.0402575986714171,-0.0816055138915156,-0.302694811835529,-0.169503679355848,-0.25999573894709,-0.242485934560809,-0.0639575729529826,0.00582345003924103,-0.142794427443095,-0.164206104959029,-0.126441693386338,0.0782896253323775,-0.0630590152194587,-0.0979522589044142,-0.166149491328169,-0.218196883184239,0.0431801144546004,-0.175286273743498,0.163067971204494,-0.111532846802142,0.214606278321017,-0.0173125330434889,-0.128238721978407,-0.104229473623994,-0.223824769468867,-0.0896230595626583,-0.208768750919363,0.0754687262766681,-0.089682383182846,-0.385807432585684,-0.0829183415881678,-0.184337889883523,0.0450523034373373,-0.136404196792317,-0.0448707364180525,0.0359423756001747,0.0318531705571502,-0.0899155685315237,-0.20909327959234,0.0505962487909146,-0.193900988386208,0.0559220389805098,-0.110581769474234,0.012496547457737,-0.0549220754027812,-0.228667245324706,-0.022346721376154,-0.075341276730056,-0.035295788652473,-0.140653634999159,-0.0343872146089086,-0.0936727935145339,-0.11202652763025,0.100129870203332,-0.136041458300309,-0.124199773632477,-0.0665434990457907,0.0797937650240555,-0.0943835003296241,-0.178531146306667,0.037113379080956,-0.0542013263854643,-0.0927281724569504,-0.165107158128449,0.030243455719162,-0.125601150566316,-0.0248896533751433,-0.0369396568810026,-0.0370896896900533,-0.0457915926149924,-0.155243400177116,-0.133916391329953,0.0122237257058128,-0.148711283012539,-0.192145271712772,-0.140840747437451,-0.141131490174035,-0.158168556451812,-0.154410908574438,-0.0152200527470101,-0.132646548914943,-0.0565936504892713,-0.15754491321166,-0.0269113899453098,-0.100517080719751,-0.240394733533169,-0.0560805263043358,-0.0235247703247355,-0.000797316041207477,0.0488599869387852,0.0479677960051972,0.115675295778069,0.11173496042458,0.161364234365816,-0.216852684323663,-0.128988733465408,-0.205631809499399,-0.203738521057419,-0.0696547057176836,0.0938494702930133,-0.194189833693377,-0.197158904019853,0.0229313303938503,0.0424671814249748,-0.128475463329182,0.0627297549605894,-0.13111288218302,0.0781907829063035,0.0490291427050332,0.0614267119615371,-0.0938338627380056,-0.111751593006693,-0.210813757245813,-0.144875267361538,-0.15900912373319,0.0327717498775503,0.178582423590831,-0.159815011389178,0.0879337707110232,0.140645102121804,-0.1248372271681,-0.0617951377371488,0.075432685375692,0.0566968415713508,0.012682603619872,-0.123700764864888,0.0746119070455945,-0.0654983286524597,0.0221531228133048,-0.127702059224113,-0.215912053411611,0.0653623666333418,-0.11598229172224,-0.0754721458723313,-0.0040091864585532,0.00025254717849154,0.199898983875382,-0.16017804795826,0.0591355002636598,0.190483709377244,-0.037661097992551,-0.149030604539223,0.0858837156160599,-0.124048116608997,0.122935152691726,-0.0349794297828748,-0.175027629215826,-0.265236666880075,-0.0648085693690884,-0.0953004954267266,-0.165204101464668,-0.129747123334312,-0.143369928908476,-0.167335308965825,0.160480298884422,-0.153462833198412
"MetaPathway4",-0.00445040637575949,-0.154522498412132,0.0880669152486371,-0.104128358531793,0.0541467177202934,0.00338571061165221,-0.113174196181995,-0.353636740318561,-0.226111659280358,0.105692612974767,0.199638505856039,0.168972795992715,0.299839758438611,0.193366414023562,-0.202818612952049,0.254589572162932,0.184624489590284,0.180041153174457,0.160961911396009,-0.153442493707914,0.0240634432194542,-0.180090800475903,-0.0550117377945319,0.205070466185535,0.0132429426721502,0.178892319665471,-0.205310607445604,-0.173983547409128,0.0146477363525093,-0.0144917243720373,0.29521048845556,0.0746395852590527,0.0109887517758496,-0.0884478813224967,0.365514688270538,-0.112637601192428,-0.175133576184555,-0.0328087554761411,-0.374503847204108,0.176677258667852,-0.072327565121522,-0.258567494425271,0.0635471837879339,-0.0483946058139095,0.199605247798601,0.171193598787073,-0.0142411696865177,0.00853925147274521,0.0610459895708655,-0.0747050700916853,-0.183624365350756,-0.0177865456836018,0.0682896035252397,0.167063490827997,0.238586362246575,-0.106293154551072,0.14033405731515,0.0309321465498981,-0.0767269896654611,-0.115971727713991,-0.1674442628718,0.0568462654726242,0.0213180747885978,0.110266440233525,0.0504399290193358,-0.0693806289076158,0.131154852680052,-0.136459456319925,0.0255299017550988,0.0919992192498211,-0.0239589523273732,0.215117446761423,0.0502072279413817,-0.118259291406928,-0.0440536984481181,0.09366343482305,-0.119012857864138,0.0320602856466504,-0.150039749940618,0.100801272576022,-0.117395936173445,0.0519135169257477,-0.200378757989426,-0.0937662747573582,-0.0642473309207323,0.0147992085520854,-0.0195145074640087,0.00951253296688128,-0.284630655140601,0.0447694797043887,-0.324683036146446,-0.113152599184066,0.0642140422736882,0.0872243373038809,-0.221162944319425,-0.100719393654807,0.0916700463299614,0.0173169447499014,-0.200862345464315,-0.161498474247598,-0.0138582936781017,-0.0614029012198966,-0.00709102434355288,-0.293677379021242,0.0950655256926872,-0.060131570574783,0.189170342569588,-0.237040461886798,0.016629952413722,-0.12990725518921,-0.165991726717521,-0.172015015226841,-0.0901202984303391,0.136325254610019,0.0790053360436082,0.0189855948426137,0.00882573598089068,-0.305206265199638,-0.0538543567635387,-0.218140932343428,-0.0984330071070894,-0.074552996962014,0.152618921036279,0.0158042248960136,0.0558910650668211,-0.0881073968962362,-0.101870851530919,0.115469987723579,-0.190683803839772,0.127867435629345,-0.0582285228389297,-0.038139919353408,-0.0753717453888777,-0.0324294465987087,-0.106144264171534,0.0139372583144441,-0.105946852580678,-0.0649168275371361,-0.158276717084826,-0.00775432728882954,-0.0736345233893436,-0.0140597090517786,-0.176801820770767,0.0552041772670135,-0.052266692795074,0.0729990022790114,-0.0958672061407689,-0.0186739263416424,-0.00627421896564921,-0.0560575815257941,-0.089199470224639,0.00923259026167443,-0.147029810478044,-0.211168901715567,-0.119865204591547,0.0346936686452754,-0.0667908366116846,-0.0178440365802929,0.178763941875371,-0.0469579910007708,0.0112225652442178,-0.206717757694654,-0.0886914122464978,0.0132070270984169,0.0797654479066875,-0.153209324251759,0.00972306637192431,-0.0235894848909754,-0.141631614537787,-0.109810670047853,-0.0557103291553682,-0.0257045675108421,0.0911300709388068,0.0639102203570154,0.0267621088207754,0.0542345065810583,0.114861613617684,-0.138279846700055,0.129889203834389,-0.0910933339522209,0.198190457565906,-0.0437647407043099,-0.106235204240847,-0.129147227889542,0.0785943517700522,0.000540695236404586,-0.0978895178725763,-0.0919852837582605,0.147824078248757,-0.0394312854519578,0.231968464646392,0.182747918938445
