"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"81","ENSG00000185863","TMEM210",0.0165,4.574,-3.9376,3.3579
"82","ENSG00000136231","IGF2BP3",0.0165,-4.5728,2.7922,-4.3649
"83","ENSG00000142156","COL6A1",0.0166,-4.5649,5.0263,-3.7706
"84","ENSG00000129514","FOXA1",0.0166,4.5638,4.7108,4.0414
"85","ENSG00000154133","ROBO4",0.0166,-4.5611,-3.8444,-4.0317
"86","ENSG00000183674",NA,0.0166,-4.5581,-3.9584,-3.5421
"87","ENSG00000155760","FZD7",0.0166,-4.5532,3.7012,-2.5652
"88","ENSG00000160113","NR2F6",0.0166,4.5507,5.6158,1.0302
"89","ENSG00000085831","TTC39A",0.0167,4.5474,4.1032,3.1134
"90","ENSG00000227479",NA,0.017,-4.5379,-5.7726,-2.7905
"91","ENSG00000270332","SMC2-DT",0.0172,-4.5325,-3.2415,-2.0731
"92","ENSG00000076706","MCAM",0.0176,-4.5222,2.9392,-4.0749
"93","ENSG00000150938","CRIM1",0.0176,-4.5187,6.1523,-2.3163
"94","ENSG00000224474",NA,0.0184,-4.5017,-4.2454,-2.0646
"95","ENSG00000137821","LRRC49",0.0184,-4.4965,1.5192,-1.711
"96","ENSG00000155254","MARVELD1",0.0184,-4.4929,4.1125,-2.3211
"97","ENSG00000010810","FYN",0.0184,-4.4891,2.3725,-3.0261
"98","ENSG00000144810","COL8A1",0.0184,-4.4751,-0.4716,-4.5035
"99","ENSG00000261664","TTC39A-AS1",0.0184,4.4746,-3.3496,3.8334
"100","ENSG00000241978",NA,0.0184,-4.4727,4.5163,-3.1905
"101","ENSG00000151967","SCHIP1",0.0184,-4.4707,-5.5181,-2.8829
"102","ENSG00000248890","HHIP-AS1",0.0184,-4.4694,-3.0998,-2.7492
"103","ENSG00000112149","CD83",0.0184,-4.4689,2.2784,-1.94
"104","ENSG00000250101",NA,0.0184,4.4687,-4.0706,2.7285
"105","ENSG00000166813","KIF7",0.0184,-4.4677,2.8056,-2.2253
"106","ENSG00000251635",NA,0.0184,4.4674,-6.189,2.6992
"107","ENSG00000160190","SLC37A1",0.0184,4.4673,4.5413,2.8408
