"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"352","ENSG00000163378","EOGT",0.0455,-3.853,3.9058,-1.2546
"353","ENSG00000165731","RET",0.0455,3.8524,0.8948,3.9876
"354","ENSG00000213030","CGB8",0.0455,-3.8521,-5.656,-2.9272
"355","ENSG00000151694","ADAM17",0.0459,-3.8455,5.4928,-0.7635
"356","ENSG00000168159","RNF187",0.0459,3.8444,6.8257,0.7707
"357","ENSG00000227191","TRGC2",0.0459,3.8439,-5.7023,3.1146
"358","ENSG00000263312",NA,0.0459,3.8417,-7.0965,1.6044
"359","ENSG00000180340","FZD2",0.0459,-3.8417,2.5081,-2.6061
"360","ENSG00000138675","FGF5",0.0459,-3.8407,-2.5028,-3.481
"361","ENSG00000271430",NA,0.0459,3.8404,3.3803,1.1251
"362","ENSG00000127463","EMC1",0.0459,-3.8392,6.6914,-0.7863
"363","ENSG00000267765",NA,0.0459,-3.8392,-4.3939,-2.3113
"364","ENSG00000237543",NA,0.0459,-3.8383,-6.1942,-3.0257
"365","ENSG00000231742","LINC01273",0.0459,-3.8383,-2.8678,-2.8096
"366","ENSG00000137976","DNASE2B",0.0459,3.8373,-5.958,2.4082
"367","ENSG00000102359","SRPX2",0.0459,-3.8365,0.4091,-3.5785
"368","ENSG00000116574","RHOU",0.0459,3.8362,3.2149,2.645
"369","ENSG00000260417",NA,0.0459,3.836,-3.052,2.1932
"370","ENSG00000053108","FSTL4",0.0459,3.8357,-1.0098,2.9787
"371","ENSG00000182261","NLRP10",0.0461,-3.8334,-4.8426,-3.6467
"372","ENSG00000072657","TRHDE",0.0461,-3.8312,-2.4069,-3.9391
"373","ENSG00000260833",NA,0.0461,-3.8306,-2.6253,-3.8473
"374","ENSG00000107242","PIP5K1B",0.0461,3.829,-0.4596,3.3883
"375","ENSG00000260102","LINC01070",0.0461,3.8287,-7.3912,1.2634
"376","ENSG00000230312",NA,0.0461,-3.8287,-4.9873,-2.2101
"377","ENSG00000260288","LOC101929408",0.0461,-3.8276,-5.1038,-1.4674
"378","ENSG00000231056",NA,0.0461,-3.8268,-5.9475,-2.7476
"379","ENSG00000156564","LRFN2",0.0461,3.8265,-4.4334,3.7638
"380","ENSG00000261716","H2BC20P",0.0462,3.8252,3.7958,1.1572
"381","ENSG00000088756","ARHGAP28",0.0462,-3.8242,-1.3007,-3.6546
"382","ENSG00000176884","GRIN1",0.047,3.8186,0.9243,2.4706
"383","ENSG00000187742","SECISBP2",0.0475,3.8142,5.732,0.6569
"384","ENSG00000255571","MIR9-3HG",0.0475,3.813,-0.8719,4.0917
"385","ENSG00000041353","RAB27B",0.0475,3.8126,4.4466,1.9923
"386","ENSG00000169228","RAB24",0.0477,3.8105,4.4949,0.8479
"387","ENSG00000076053","RBM7",0.0478,-3.8095,4.6573,-0.8584
"388","ENSG00000147065","MSN",0.0478,-3.8083,5.7399,-3.8075
"389","ENSG00000011426","ANLN",0.0483,-3.8045,7.8693,-0.9885
"390","ENSG00000157184","CPT2",0.0483,3.8035,4.3213,0.6887
"391","ENSG00000168490","PHYHIP",0.0483,-3.8031,-3.1413,-2.905
"392","ENSG00000204758","RPL26L1-AS1",0.0483,-3.8014,-1.0825,-1.4145
"393","ENSG00000230439",NA,0.0483,-3.8003,-0.612,-2.3135
"394","ENSG00000167195","GOLGA6C",0.0483,-3.798,-7.2217,-1.2697
"395","ENSG00000135773","CAPN9",0.0483,3.7972,-1.5251,3.6803
"396","ENSG00000185585","OLFML2A",0.0483,-3.7972,1.1954,-3.0381
"397","ENSG00000124134","KCNS1",0.0483,-3.7972,-2.4192,-2.8111
"398","ENSG00000068137","PLEKHH3",0.0483,3.7967,4.9871,0.9137
"399","ENSG00000169689","CENPX",0.0483,3.7957,5.8586,0.9551
"400","ENSG00000239453",NA,0.0483,3.7957,-6.1702,2.2828
"401","ENSG00000118523","CCN2",0.0484,-3.7942,3.9548,-3.3932
"402","ENSG00000151746","BICD1",0.0489,-3.7907,3.7523,-1.4072
"403","ENSG00000050030","NEXMIF",0.0492,3.7876,-1.9433,3.7552
"404","ENSG00000273107",NA,0.0494,-3.7856,-5.8665,-2.5937
"405","ENSG00000169083","AR",0.0496,3.7837,0.9902,4.8581
"406","ENSG00000269378",NA,0.0496,-3.7822,0.5311,-1.2382
"407","ENSG00000260781","ARHGAP23P1",0.0496,-3.7818,-3.6669,-2.2007
"408","ENSG00000248257",NA,0.0496,-3.7804,-6.6799,-2.0284
"409","ENSG00000233930","KRTAP5-AS1",0.0496,3.7801,-1.2924,3.0024
"410","ENSG00000184005","ST6GALNAC3",0.0496,-3.78,-2.9291,-3.5673
"411","ENSG00000128346","C22orf23",0.0499,-3.7763,1.4128,-1.239
"412","ENSG00000137193","PIM1",0.0499,-3.7758,4.2325,-1.5254
"413","ENSG00000148468","FAM171A1",0.0499,-3.7736,2.518,-3.6849
"414","ENSG00000104687","GSR",0.0499,3.7736,6.7009,1.058
"415","ENSG00000236703",NA,0.0499,3.7734,-5.9755,2.0129
"416","ENSG00000268657",NA,0.0499,3.7734,-3.4557,2.7746
"417","ENSG00000263586","HID1-AS1",0.0499,3.7727,-6.3135,2.0707
