"","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Gefitinib","Navitoclax","Vorinostat","Nilotinib","Olaparib","Axitinib","AZD7762","SB216763","KU-55933","Afatinib","Staurosporine","PLX-4720","NU7441","Doramapimod","Wee1 Inhibitor","Nutlin-3a (-)","Mirin","PD173074","ZM447439","Alisertib","RO-3306","MK-2206","Palbociclib","Dactolisib","Pictilisib","AZD8055","PD0325901","Obatoclax Mesylate","5-Fluorouracil","Dasatinib","Paclitaxel","Crizotinib","Rapamycin","Sorafenib","BI-2536","Irinotecan","Oxaliplatin","BMS-536924","GSK1904529A","Tozasertib","PF-4708671","PRIMA-1MET","Erlotinib","Niraparib","MK-1775","Dinaciclib","Gemcitabine","Bortezomib","GSK269962A","SB505124","Tamoxifen","Fulvestrant","EPZ004777","YK-4-279","Daporinad","BMS-345541","AZ960","Talazoparib","XAV939","Trametinib","Dabrafenib","Temozolomide","AZD5438","IAP_5620","AZD2014","AZD1208","AZD1332","Ruxolitinib","Linsitinib","Epirubicin","Cyclophosphamide","Pevonedistat","Sapitinib","Uprosertib","LCL161","Lapatinib","Luminespib","Alpelisib","Taselisib","EPZ5676","SCH772984","IWP-2","Leflunomide","Entinostat","OSI-027","LGK974","VE-822","WZ4003","CZC24832","AZD5582","GSK2606414","PFI3","PCI-34051","Wnt-C59","I-BET-762","RVX-208","OTX015","GSK343","ML323","Entospletinib","PRT062607","Ribociclib","AGI-6780","Picolinici-acid","AZD5153","CDK9_5576","CDK9_5038","Eg5_9814","ERK_2440","ERK_6604","IRAK4_4710","JAK1_8709","AZD5991","PAK_5339","TAF1_5496","ULK1_4989","VSP34_8731","Selumetinib","IGF1R_3801","JAK_8517","AZD4547","Ibrutinib","Zoledronate","Acetalax","Carmustine","Topotecan","Teniposide","Mitoxantrone","Dactinomycin","Fludarabine","Nelarabine","Vincristine","Podophyllotoxin bromide","Dihydrorotenone","Gallibiscoquinazole","Elephantin","Sinularin","Sabutoclax","LY2109761","OF-1","MN-64","KRAS (G12C) Inhibitor-12","MG-132","BDP-00009066","Buparlisib","Ulixertinib","Venetoclax","ABT737","Afuresertib","AGI-5198","AZD3759","AZD5363","AZD6738","AZD8186","Osimertinib","Cediranib","Ipatasertib","GDC0810","GNE-317","GSK2578215A","I-BRD9","Telomerase Inhibitor IX","MIRA-1","NVP-ADW742","P22077","Savolitinib","UMI-77","WIKI4","Sepantronium bromide","MIM1","WEHI-539","BPD-00008900","Foretinib","BIBR-1532","Pyridostatin","AMG-319","MK-8776","Vinorelbine","VX-11e","LJI308","AZ6102","GSK591","VE821","AZD6482","AT13148","BMS-754807","JQ1"
"MetaPathway1",-0.406273179199874,-0.347008691653273,-0.380686907020082,-0.247551479617005,-0.342685912345637,0.467409582692546,-0.0806470704908655,-0.227626205879648,0.0621739988647289,-0.139909447249497,-0.320796617596147,-0.371012605860203,-0.40330854117236,-0.307774147790228,0.106337144618987,-0.418200469592728,-0.103347734331921,-0.314245368502468,-0.316383738399782,-0.252775695600185,-0.184044504977518,-0.0792342683722717,0.10002959107113,-0.309795529933341,-0.0868486070534424,-0.31444969992952,-0.11435166008025,-0.193955534550771,-0.326267278313087,-0.195383795978126,-0.421427074682181,0.19640334888443,-0.140003960305095,0.00291170204371499,-0.0375111481053216,-0.0840165713812373,0.241991495640527,-0.135943411809898,-0.208743342044507,-0.268635463669261,-0.324732302797948,-0.0990538866430794,-0.0444009508185439,0.135288686887246,-0.318754495234297,-0.313414053522864,-0.277600184050108,0.249319309866445,-0.24885733547549,-0.263207733485599,-0.163859516874238,-0.360686526222748,-0.229370684731701,-0.315335614325576,-0.22390801408617,0.00348786743218812,0.15372475681549,0.119830504466008,-0.292189193415384,0.00498027684308381,-0.133641220411895,-0.303935296064644,-0.239415949884238,0.163355057828775,0.164245413424352,-0.231575209919067,-0.133427777286476,-0.134241180997358,0.15540558007139,-0.169180990882351,0.048178413856329,-0.036850210696599,0.118784301703454,-0.0339382940108893,-0.350330289163734,0.0937660321143122,-0.23535818615546,0.521581314605855,0.0540914820712054,0.272255798308549,0.226009074944117,-0.345806044346248,0.316483863331492,0.102706541466109,0.257786299907812,0.266101684885085,0.187045606736336,-0.174762203170803,-0.121210453288012,-0.0715387694575386,0.272785198424737,-0.0265321702263485,-0.125885423257149,0.082604906077847,0.0167153905839877,0.0141504628325688,0.274188906771923,-0.152907121813539,0.0796911109968103,-0.124187683575786,-0.0151770031050207,-0.127930607338419,0.22897375600223,0.161237890947668,-0.0583864521116147,-0.163425211374354,-0.287615350585415,0.127595259703111,0.251376023332586,-0.180769703243663,-0.20106573831242,-0.186429857714414,-0.184330334876966,-0.0202565639776078,0.0939964564619547,0.192682078552397,-0.108190260839094,0.0391711108561535,-0.167333743816583,0.21099666484548,-0.035539770470456,-0.0615038542281926,0.187227173755621,-0.122336699906854,-0.159597409951402,0.0396262307251883,0.338475648225362,0.198809264919411,0.439659302227547,0.0915121170572765,-0.187722629976929,-0.255174222340658,-0.269893230554893,-0.0959310299494349,-0.0295564633829826,0.173753785807948,-0.282503882978784,-0.266395097164922,0.265826551783256,0.239002264817723,-0.2685113494189,0.142788367834197,-0.271480419745376,0.308767521026286,0.295919974693368,0.201991938806546,-0.106989397141903,-0.383890631547742,-0.223062295402653,-0.266610899493788,0.103964772249792,-0.176815940165247,-0.00384345237266813,-0.101863326024697,0.329408333845575,0.485072100988298,-0.0729466740874159,-0.136841110245776,0.0126194668252492,0.262183431770858,-0.110615664179295,0.0330284356870968,0.336598036333256,-0.148419196938037,0.21713532880743,-0.155427004162887,-0.362649856214524,0.023329045613156,-0.157455273690148,0.0749275910187089,0.151070565333908,-0.0685113142651582,0.140147899864149,-0.373201593015874,-0.156689740055345,0.0746987201382009,-0.0965756194750306,-0.136065758907186,0.143990693467043,-0.126948926818905,-0.148103134608164,-0.12097365245455,-0.269700086486922,0.0123175900205746,0.118665078571365,-0.099539230345694,0.0924825655085305,-0.120590824440454,-0.315931470709928,-0.244753394785624,-0.223417248646157,-0.311455059717502
"MetaPathway2",0.0121597096188748,-0.197079721388851,0.0780375214686973,-0.13568097164458,0.0347234962588387,0.0229186564481073,-0.202627737383997,-0.39891499484987,-0.340461629777729,0.0710930488886159,0.288849332404921,0.187311357082077,0.311315851575401,0.279387454113801,-0.186287274426019,0.22032707980062,0.218650253539222,0.259574198453685,0.238286017203843,-0.192550799124032,-0.042181057789668,-0.232958379960719,-0.0676135803331345,0.290604877241321,-0.0129469889473554,0.262442781580794,-0.244717997325242,-0.147256909539218,-0.091232668230069,-0.0614744234796387,0.303406237961977,0.166425995633648,-0.00640221098434914,0.00999763276256609,0.412575276562571,-0.155383704993702,-0.166906062635261,-0.0417322002170956,-0.481065299249964,0.262065146968504,-0.0786718115057358,-0.180021936578922,-0.0027464505660955,-0.107867970239058,0.278014910683292,0.257751178581965,-0.10407737314138,0.0197460325183073,-0.0158515902053922,-0.050305780271944,-0.243147908225702,-0.0415940027942614,-0.0228368514677656,0.251287746791025,0.143972734083967,-0.131244821565956,0.11283854027983,0.0643656937264079,-0.116487386079223,-0.168294329573101,-0.188458671799466,0.0196802860468341,-0.0259352809164504,0.100714436175495,0.144399289913146,0.0141886226997149,0.195625412089346,-0.127870546885928,0.10087232054009,0.0435208251007606,-0.078871134333702,0.160457879738447,0.0827629839209821,-0.187666692969305,-0.175496612753637,0.0775398758962308,-0.188368626757378,0.102501380888503,-0.09909669986743,0.193771480668106,-0.149986190686877,0.0701491359583366,-0.137591730450564,-0.0699518661721771,0.0172809696286421,0.135599573107604,-0.0060390769457794,-0.0205249673974202,-0.237238915003767,0.0369156437983034,-0.224521077332318,-0.103732099457865,-0.0333072836092495,0.0946154272655352,-0.206833209669447,-0.0463838273875608,0.101864380881773,-0.0777959597245912,-0.260085822721159,-0.149622192941693,-0.01476638699604,-0.0820363606961813,0.0115446298332676,-0.305624728499856,0.121692401067365,-0.10178541624543,0.281077911883682,-0.233763423004675,0.038621603635097,-0.171509785260135,-0.213009690494073,-0.233779378656616,-0.144948842164142,0.13701205159601,0.0969331056434318,0.0191119023342901,-0.0174304338513476,-0.335859514585862,-0.117789630206503,-0.230155932489148,-0.118089610499234,-0.0910992783716266,0.190076986536571,-0.0275981869313004,0.0201302564859313,-0.180326577542288,-0.060343779596231,0.0625557849104965,-0.210496031098095,0.0751980231889243,-0.0761929776068393,-0.0905487484938985,-0.118754916595425,-0.0451266067343268,-0.0673094560183126,0.0404219973437051,-0.164017446146923,-0.118360093413713,-0.180963257106015,-0.0085202842613514,-0.162975112947202,-0.0844688052383465,-0.291174200049186,0.0741162076710326,-0.0771484497065831,0.0967042329395763,-0.213240473475425,-0.0701781381446848,-0.033296767064244,-0.179639964900764,-0.0993797158753321,-0.00105740777355929,-0.221507551835065,-0.248261768556512,-0.135096956294318,0.0757562614481343,-0.0793787350396223,-0.00503515937117509,0.13523901408222,-0.0744382808603815,-0.0389317259843365,-0.219408253413854,-0.0164550270985894,-0.0302190673835863,0.0460109390814275,-0.202440239858953,-0.107766616321937,-0.0332020618723097,-0.256935185717831,-0.182686315241318,-0.0193277512539307,-0.13453661724204,-0.0270856848932177,-0.0786368777028034,-0.0549053350239265,0.0335414221434077,0.109660720160624,-0.124833506039979,0.0304446938220801,-0.110657029476728,0.123412701039207,-0.040682383188748,-0.151128654591659,-0.0974751164140181,0.0465314556276446,-0.114572136589965,-0.0436818604125983,-0.055892890058115,0.234248634458172,-0.0722952944559067,0.133770761603686,0.261981107881442
"MetaPathway3",0.258967884478813,0.100615630286947,0.31356256540792,0.0929728761318623,0.25043054215811,-0.220225085694287,-0.0855079898081231,-0.126286717587849,-0.264730716323636,0.182135987886968,0.401436518864588,0.375545954976313,0.476160783355955,0.38144229700589,-0.187092141504613,0.450194314660207,0.23096407650822,0.37406984066928,0.356699082254085,0.05696587102481,0.129987571783594,-0.0614328062641246,-0.0777100471635302,0.388666866517385,0.0832498097599379,0.373930741140743,-0.0962932276133792,0.0503284606832855,0.182737613886949,0.102669112880249,0.481730214130266,0.0459721137244149,0.165423343004977,0.0246113785212657,0.361256900683157,-0.0581811008541244,-0.224542064026627,0.0614577096444687,-0.163945551518417,0.350534920348354,0.149468551007186,-0.0922677524510099,0.123688926715896,-0.093916940876757,0.389228361557139,0.3669931579829,0.162194607748998,-0.125070044098271,0.188016595578599,0.1399171435297,-0.0618924819652199,0.210676662227508,0.144059972493272,0.366219542594795,0.256224174727061,-0.0572578418279569,0.0265446747903041,-0.00549203418334926,0.122947069379077,-0.12586440709906,-0.0144385251422621,0.23256366904923,0.17745856851049,0.0293980686876895,0.0459183271219517,0.159290569246438,0.258146622964658,-0.00790211244800678,-0.0611249317531633,0.172307101301343,-0.0295085877429064,0.22904284771875,0.0389816496186388,-0.0512743628185907,0.146552338468708,0.0715616106553763,0.0729111596404405,-0.189978694863095,-0.102813269970353,0.00362344616746764,-0.19217202619022,0.261950603645546,-0.278331886688235,-0.114140298271917,-0.111600344044696,-0.0336424556981158,-0.0677718635026355,0.113163618323853,-0.121190719885224,0.0514465477444124,-0.307698074051877,-0.0434187910683265,0.115098853932769,0.0120578999694936,-0.180985970543356,-0.0305435213372634,-0.0347839223088535,0.0686518548361344,-0.16603894083729,-0.00690940567996522,0.0506321248227851,0.0549199045761807,-0.0998981614368457,-0.304685049327381,0.142523272134505,0.0505847460409797,0.362121702319042,-0.21804942932895,-0.0785856060880158,0.0165462814096126,-0.0247404799321211,-0.0460153980613701,0.00930454874941124,0.195129286203628,0.0924886607800673,-0.0654746459977704,0.117371236640324,-0.256419996539616,0.0923386706337015,-0.268513938867635,-0.0739451421583211,0.00292086074501749,0.0723505100759062,0.103603720047593,0.15220842168833,-0.11633349014233,-0.202055504914623,-0.0350918843905891,-0.400611289556201,0.0399561059892846,0.0752454019707298,0.119663009913363,0.0948839070290995,0.0504493130807994,-0.0238236307845201,-0.0906750919120464,0.051334910086233,0.0828181105959717,-0.248438538860647,-0.107849900316531,0.0672068019910674,-0.0740098978308313,-0.022023237075912,-0.0946233237291694,-0.195405889093051,-0.0400667356334798,-0.0489502747717661,0.194456609692412,0.160300375497841,0.086588167775623,-0.0557782761698441,0.0854685342941844,-0.181459093795836,-0.108078354245388,-0.236230263131189,-0.188704040978812,0.00768295869567233,0.0983789641714468,0.134153850424639,-0.160623951570284,0.0739687009503738,-0.185073675287996,-0.183432118627801,0.102072241711017,-0.00267147562248083,0.00915088917065441,0.21777853490265,0.0045419031631838,-0.0433947081542417,-0.105718616546357,-0.118993127615819,-0.0296229948271249,-0.0417847198913581,0.241233854105052,0.0915759745508309,-0.015969662989926,0.196619816604656,0.00322049133508133,0.00480705691927581,0.0290317821824244,0.203869730888433,0.0759420272912193,0.0673007122259806,-0.0334994245737382,0.016240622553669,0.0607078403385062,-0.00994563500539823,0.05729001497554,0.343531859520078,0.102676841389064,0.250290374406897,0.372383510364533
"MetaPathway4",0.0900891659433441,-0.0561089202784679,0.219553766983599,-0.0327995648065888,0.150363273028133,-0.0609506831090677,-0.0637680016278556,-0.249515693169619,-0.282154271279001,0.169355968720012,0.345801758325351,0.26929040663345,0.446923826575584,0.328611852598859,-0.149373860762646,0.319966068989683,0.184991418631013,0.317314889860907,0.300524622943633,-0.0771276386475264,0.0722455662881499,-0.168881010589619,-0.107597009351982,0.339791842723729,0.063708971824155,0.319914918316455,-0.156662918497273,-0.0738711013933172,0.0507698749761275,0.0303288552267494,0.437082795684463,0.0269472654254852,0.0491730853532809,-0.0782214156079855,0.386854924853073,-0.130968632968385,-0.24024734168907,0.0197176160662578,-0.322903926074972,0.31481128223885,0.00356666587769234,-0.174293176784222,0.101310879071747,-0.0439757277353526,0.335661734764653,0.312029032424805,0.0704401092643002,-0.00481418058999499,0.148940215341203,0.0319274018792605,-0.119078671604429,0.0763148550603875,0.0708068653145339,0.308672539853834,0.273475323527536,-0.094306569416471,0.100540717550731,0.0136906311898146,0.0117907963958238,-0.0846392534695129,-0.124515504138273,0.132788644843079,0.0570481468241336,0.0725320770951911,0.0117656342565441,-0.00656953748471226,0.208118605325349,-0.0934596496223299,-0.0349871751943717,0.0869469195827639,-0.0304874708033988,0.215046398797355,0.0570594093648281,-0.0843525605618244,0.0317262392979998,0.0932372614593456,-0.0303924745115913,-0.0219364002209422,-0.13498803556413,0.0737556809208065,-0.140201223230059,0.101017912096583,-0.245403613982483,-0.103045845498303,-0.0866968097305436,-0.0516295502832818,-0.0180382886550404,0.059577664980127,-0.225150232455539,0.122043902909102,-0.323384998392877,-0.0652012290354045,0.0896643445668629,0.0706575565992329,-0.221858102339931,-0.048926488677788,0.0581890405207585,0.0553384171487957,-0.184603526841402,-0.0969843663558089,0.0276692085743979,-0.00444570902608048,-0.0331098720183933,-0.291095235412843,0.147016359942391,0.00152401748140947,0.310467628979741,-0.219387882559119,-0.00140557052689578,-0.0933570247853428,-0.112642599920688,-0.118136975808613,-0.0509480297666107,0.109271768736573,0.0312532099716871,-0.0234931934518163,0.0275271389672324,-0.259554001176838,-0.0212512354745597,-0.23575293321406,-0.125802261709726,-0.0778685686185203,0.0676060849198102,0.064993098685754,0.0966804906600789,-0.136959491735694,-0.102340775604733,0.0526141371949809,-0.272791232708661,0.120231555295029,0.0121210716785676,0.0491002108777414,0.0230260879574612,0.0141728400270789,-0.0577468385572407,-0.00363237327175314,-0.0227102294120914,0.0192120960221204,-0.198477613446772,-0.0329835286002454,-0.00614344870744336,-0.0171393420370039,-0.0956103816834502,0.00837025145230072,-0.121431817767434,0.0050892808663338,-0.0635034860000876,0.0803258961313115,0.0495150311829976,0.000284115575802983,-0.116488841899133,0.0780193332625428,-0.141276470068033,-0.16183538881711,-0.180366038038927,-0.027977492117266,-0.0468001490142136,0.0320261390724585,0.156018911612477,-0.0503831621090623,0.0792524614503765,-0.203987091327214,-0.118965505268171,0.0286718006105501,0.0645415883032443,-0.085905501183763,0.0743751440657587,0.00416702844511042,-0.12538967412105,-0.143186358105376,-0.0881547494922033,-0.0589776582771026,0.0502174280231772,0.124813550870116,0.0772478682210999,0.010251837026891,0.146366874134503,-0.0902487443128736,0.0438594610376947,-0.0121912962427282,0.167682616854903,0.00472417662756416,-0.0155958962540797,-0.109544065559458,0.0383578640581067,0.0498150019992605,-0.0504701509718383,-0.00985091467201349,0.286286135287311,0.0334599577681612,0.26780921344738,0.321025430728411
